time,tair_month_HadGEM2-ES_rcp85
2016-07-31 00:00:00+00:00,30.145851
2016-08-31 00:00:00+00:00,30.217083
2016-09-30 00:00:00+00:00,28.099033
2016-10-31 00:00:00+00:00,23.516636
2016-11-30 00:00:00+00:00,14.436569
2016-12-31 00:00:00+00:00,6.649284
2017-01-31 00:00:00+00:00,8.010201
2017-02-28 00:00:00+00:00,11.99128
2017-03-31 00:00:00+00:00,13.756173
2017-04-30 00:00:00+00:00,17.839962
2017-05-31 00:00:00+00:00,21.054626
2017-06-30 00:00:00+00:00,26.613825
2017-07-31 00:00:00+00:00,29.558916
2017-08-31 00:00:00+00:00,29.957632
2017-09-30 00:00:00+00:00,27.94712
2017-10-31 00:00:00+00:00,21.892984
2017-11-30 00:00:00+00:00,13.321324
2017-12-31 00:00:00+00:00,9.560546
2018-01-31 00:00:00+00:00,7.438287
2018-02-28 00:00:00+00:00,9.535659
2018-03-31 00:00:00+00:00,16.381914
2018-04-30 00:00:00+00:00,19.141512
2018-05-31 00:00:00+00:00,19.712994
2018-06-30 00:00:00+00:00,29.033253
2018-07-31 00:00:00+00:00,30.892511
2018-08-31 00:00:00+00:00,31.06338
2018-09-30 00:00:00+00:00,27.741667
2018-10-31 00:00:00+00:00,20.77738
2018-11-30 00:00:00+00:00,13.262851
2018-12-31 00:00:00+00:00,7.948838
2019-01-31 00:00:00+00:00,7.1674566
2019-02-28 00:00:00+00:00,10.24797
2019-03-31 00:00:00+00:00,14.712583
2019-04-30 00:00:00+00:00,19.325596
2019-05-31 00:00:00+00:00,24.774254
2019-06-30 00:00:00+00:00,28.044651
2019-07-31 00:00:00+00:00,29.96893
2019-08-31 00:00:00+00:00,28.51163
2019-09-30 00:00:00+00:00,27.710003
2019-10-31 00:00:00+00:00,20.464012
2019-11-30 00:00:00+00:00,15.647323
2019-12-31 00:00:00+00:00,9.770036
2020-01-31 00:00:00+00:00,10.771378
2020-02-29 00:00:00+00:00,13.822344
2020-03-31 00:00:00+00:00,18.631424
2020-04-30 00:00:00+00:00,18.381306
2020-05-31 00:00:00+00:00,24.389153
2020-06-30 00:00:00+00:00,28.087038
2020-07-31 00:00:00+00:00,31.717516
2020-08-31 00:00:00+00:00,32.269764
2020-09-30 00:00:00+00:00,28.875465
2020-10-31 00:00:00+00:00,19.804842
2020-11-30 00:00:00+00:00,13.842373
2020-12-31 00:00:00+00:00,5.864963
2021-01-31 00:00:00+00:00,5.4952292
2021-02-28 00:00:00+00:00,9.2556715
2021-03-31 00:00:00+00:00,10.98945
2021-04-30 00:00:00+00:00,19.519503
2021-05-31 00:00:00+00:00,18.634295
2021-06-30 00:00:00+00:00,26.578478
2021-07-31 00:00:00+00:00,31.264338
2021-08-31 00:00:00+00:00,30.816872
2021-09-30 00:00:00+00:00,26.695648
2021-10-31 00:00:00+00:00,21.662611
2021-11-30 00:00:00+00:00,15.341162
2021-12-31 00:00:00+00:00,10.231221
2022-01-31 00:00:00+00:00,10.829799
2022-02-28 00:00:00+00:00,15.666452
2022-03-31 00:00:00+00:00,13.732898
2022-04-30 00:00:00+00:00,18.930788
2022-05-31 00:00:00+00:00,25.07413
2022-06-30 00:00:00+00:00,27.897263
2022-07-31 00:00:00+00:00,30.881147
2022-08-31 00:00:00+00:00,31.100508
2022-09-30 00:00:00+00:00,27.850935
2022-10-31 00:00:00+00:00,22.952085
2022-11-30 00:00:00+00:00,13.049981
2022-12-31 00:00:00+00:00,7.793899
2023-01-31 00:00:00+00:00,12.155006
2023-02-28 00:00:00+00:00,11.816236
2023-03-31 00:00:00+00:00,13.395751
2023-04-30 00:00:00+00:00,15.184794
2023-05-31 00:00:00+00:00,24.4708
2023-06-30 00:00:00+00:00,28.869595
2023-07-31 00:00:00+00:00,30.91614
2023-08-31 00:00:00+00:00,31.028831
2023-09-30 00:00:00+00:00,28.78551
2023-10-31 00:00:00+00:00,23.356916
2023-11-30 00:00:00+00:00,14.913145
2023-12-31 00:00:00+00:00,9.77937
2024-01-31 00:00:00+00:00,8.67163
2024-02-29 00:00:00+00:00,15.916638
2024-03-31 00:00:00+00:00,13.892671
2024-04-30 00:00:00+00:00,16.05526
2024-05-31 00:00:00+00:00,21.837835
2024-06-30 00:00:00+00:00,28.540836
2024-07-31 00:00:00+00:00,31.73175
2024-08-31 00:00:00+00:00,31.636948
2024-09-30 00:00:00+00:00,28.581047
2024-10-31 00:00:00+00:00,18.387749
2024-11-30 00:00:00+00:00,15.919787
2024-12-31 00:00:00+00:00,10.132701
2025-01-31 00:00:00+00:00,9.803126
2025-02-28 00:00:00+00:00,12.278653
2025-03-31 00:00:00+00:00,14.580974
2025-04-30 00:00:00+00:00,20.53283
2025-05-31 00:00:00+00:00,23.983065
2025-06-30 00:00:00+00:00,27.617222
2025-07-31 00:00:00+00:00,31.496178
2025-08-31 00:00:00+00:00,29.765015
2025-09-30 00:00:00+00:00,26.24589
2025-10-31 00:00:00+00:00,25.024372
2025-11-30 00:00:00+00:00,14.92089
2025-12-31 00:00:00+00:00,8.001882
