time,baseflow_month_CNRM-CM5_rcp85
2016-01-31 00:00:00+00:00,0.041715216
2016-02-29 00:00:00+00:00,0.07002498
2016-03-31 00:00:00+00:00,0.108221434
2016-04-30 00:00:00+00:00,0.08730357
2016-05-31 00:00:00+00:00,0.04097098
2016-06-30 00:00:00+00:00,0.033043075
2016-07-31 00:00:00+00:00,0.02948761
2016-08-31 00:00:00+00:00,0.02849539
2016-09-30 00:00:00+00:00,0.052076947
2016-10-31 00:00:00+00:00,0.04233786
2016-11-30 00:00:00+00:00,0.036584243
2016-12-31 00:00:00+00:00,0.03807095
2017-01-31 00:00:00+00:00,0.36331344
2017-02-28 00:00:00+00:00,0.5195925
2017-03-31 00:00:00+00:00,0.24535385
2017-04-30 00:00:00+00:00,0.13827609
2017-05-31 00:00:00+00:00,0.07020445
2017-06-30 00:00:00+00:00,0.05128175
2017-07-31 00:00:00+00:00,0.04042912
2017-08-31 00:00:00+00:00,0.036526453
2017-09-30 00:00:00+00:00,0.035559345
2017-10-31 00:00:00+00:00,0.035017747
2017-11-30 00:00:00+00:00,0.03471851
2017-12-31 00:00:00+00:00,0.03580881
2018-01-31 00:00:00+00:00,0.036379665
2018-02-28 00:00:00+00:00,0.09286909
2018-03-31 00:00:00+00:00,0.052833132
2018-04-30 00:00:00+00:00,0.06329758
2018-05-31 00:00:00+00:00,0.13014412
2018-06-30 00:00:00+00:00,0.041705232
2018-07-31 00:00:00+00:00,0.034387954
2018-08-31 00:00:00+00:00,0.034601197
2018-09-30 00:00:00+00:00,0.03525193
2018-10-31 00:00:00+00:00,0.034133002
2018-11-30 00:00:00+00:00,0.03476244
2018-12-31 00:00:00+00:00,0.041586738
2019-01-31 00:00:00+00:00,0.03718335
2019-02-28 00:00:00+00:00,0.17626312
2019-03-31 00:00:00+00:00,0.17622541
2019-04-30 00:00:00+00:00,0.07765765
2019-05-31 00:00:00+00:00,0.05556453
2019-06-30 00:00:00+00:00,0.03827239
2019-07-31 00:00:00+00:00,0.03280564
2019-08-31 00:00:00+00:00,0.03145595
2019-09-30 00:00:00+00:00,0.038096547
2019-10-31 00:00:00+00:00,0.03632658
2019-11-30 00:00:00+00:00,0.038556103
2019-12-31 00:00:00+00:00,0.044028196
2020-01-31 00:00:00+00:00,0.05223466
2020-02-29 00:00:00+00:00,0.04992465
2020-03-31 00:00:00+00:00,0.19432639
2020-04-30 00:00:00+00:00,0.15921207
2020-05-31 00:00:00+00:00,0.06504956
2020-06-30 00:00:00+00:00,0.039662223
2020-07-31 00:00:00+00:00,0.033539202
2020-08-31 00:00:00+00:00,0.03158008
2020-09-30 00:00:00+00:00,0.03116129
2020-10-31 00:00:00+00:00,0.030666625
2020-11-30 00:00:00+00:00,0.030273952
2020-12-31 00:00:00+00:00,0.030392239
2021-01-31 00:00:00+00:00,0.034173302
2021-02-28 00:00:00+00:00,0.12741923
2021-03-31 00:00:00+00:00,0.13990505
2021-04-30 00:00:00+00:00,0.074334145
2021-05-31 00:00:00+00:00,0.048638996
2021-06-30 00:00:00+00:00,0.037065987
2021-07-31 00:00:00+00:00,0.033006947
2021-08-31 00:00:00+00:00,0.031973623
2021-09-30 00:00:00+00:00,0.0313574
2021-10-31 00:00:00+00:00,0.030873
2021-11-30 00:00:00+00:00,0.030457461
2021-12-31 00:00:00+00:00,0.030082796
2022-01-31 00:00:00+00:00,0.10878253
2022-02-28 00:00:00+00:00,0.42820573
2022-03-31 00:00:00+00:00,0.26085958
2022-04-30 00:00:00+00:00,0.12570292
2022-05-31 00:00:00+00:00,0.070681
2022-06-30 00:00:00+00:00,0.04868792
2022-07-31 00:00:00+00:00,0.03949659
2022-08-31 00:00:00+00:00,0.035841703
2022-09-30 00:00:00+00:00,0.03497368
2022-10-31 00:00:00+00:00,0.034234487
2022-11-30 00:00:00+00:00,0.033693563
2022-12-31 00:00:00+00:00,0.033255294
2023-01-31 00:00:00+00:00,0.071986444
2023-02-28 00:00:00+00:00,0.20096686
2023-03-31 00:00:00+00:00,0.13461049
2023-04-30 00:00:00+00:00,0.09952782
2023-05-31 00:00:00+00:00,0.05923861
2023-06-30 00:00:00+00:00,0.042191856
2023-07-31 00:00:00+00:00,0.035781346
2023-08-31 00:00:00+00:00,0.03432945
2023-09-30 00:00:00+00:00,0.033819787
2023-10-31 00:00:00+00:00,0.03346296
2023-11-30 00:00:00+00:00,0.033186663
2023-12-31 00:00:00+00:00,0.032926746
2024-01-31 00:00:00+00:00,0.033425573
2024-02-29 00:00:00+00:00,0.05754096
2024-03-31 00:00:00+00:00,0.09400152
2024-04-30 00:00:00+00:00,0.052838925
2024-05-31 00:00:00+00:00,0.041114762
2024-06-30 00:00:00+00:00,0.034357246
