time,baseflow_month_CanESM2_rcp85
2016-01-31 00:00:00+00:00,0.041168634
2016-02-29 00:00:00+00:00,0.15470709
2016-03-31 00:00:00+00:00,0.5350789
2016-04-30 00:00:00+00:00,0.19348916
2016-05-31 00:00:00+00:00,0.081128456
2016-06-30 00:00:00+00:00,0.050092384
2016-07-31 00:00:00+00:00,0.036727943
2016-08-31 00:00:00+00:00,0.03263427
2016-09-30 00:00:00+00:00,0.031352427
2016-10-31 00:00:00+00:00,0.030852616
2016-11-30 00:00:00+00:00,0.03697529
2016-12-31 00:00:00+00:00,0.037900716
2017-01-31 00:00:00+00:00,0.10120198
2017-02-28 00:00:00+00:00,0.10126732
2017-03-31 00:00:00+00:00,0.33599895
2017-04-30 00:00:00+00:00,0.117829405
2017-05-31 00:00:00+00:00,0.054133605
2017-06-30 00:00:00+00:00,0.03717981
2017-07-31 00:00:00+00:00,0.032033812
2017-08-31 00:00:00+00:00,0.030626837
2017-09-30 00:00:00+00:00,0.030322958
2017-10-31 00:00:00+00:00,0.02986232
2017-11-30 00:00:00+00:00,0.029459087
2017-12-31 00:00:00+00:00,0.029774899
2018-01-31 00:00:00+00:00,0.03216767
2018-02-28 00:00:00+00:00,0.0367726
2018-03-31 00:00:00+00:00,0.051044215
2018-04-30 00:00:00+00:00,0.05231895
2018-05-31 00:00:00+00:00,0.0345993
2018-06-30 00:00:00+00:00,0.030355493
2018-07-31 00:00:00+00:00,0.027992042
2018-08-31 00:00:00+00:00,0.028010644
2018-09-30 00:00:00+00:00,0.028648922
2018-10-31 00:00:00+00:00,0.02794953
2018-11-30 00:00:00+00:00,0.027662316
2018-12-31 00:00:00+00:00,0.0274305
2019-01-31 00:00:00+00:00,0.02831699
2019-02-28 00:00:00+00:00,0.032468073
2019-03-31 00:00:00+00:00,0.030782148
2019-04-30 00:00:00+00:00,0.028901462
2019-05-31 00:00:00+00:00,0.027873086
2019-06-30 00:00:00+00:00,0.027302831
2019-07-31 00:00:00+00:00,0.026961187
2019-08-31 00:00:00+00:00,0.026698463
2019-09-30 00:00:00+00:00,0.026450876
2019-10-31 00:00:00+00:00,0.026207265
2019-11-30 00:00:00+00:00,0.025967974
2019-12-31 00:00:00+00:00,0.025743337
2020-01-31 00:00:00+00:00,0.027826352
2020-02-29 00:00:00+00:00,0.04013775
2020-03-31 00:00:00+00:00,0.06882808
2020-04-30 00:00:00+00:00,0.040202595
2020-05-31 00:00:00+00:00,0.029979162
2020-06-30 00:00:00+00:00,0.025803924
2020-07-31 00:00:00+00:00,0.02489249
2020-08-31 00:00:00+00:00,0.024555927
2020-09-30 00:00:00+00:00,0.024319122
2020-10-31 00:00:00+00:00,0.024119155
2020-11-30 00:00:00+00:00,0.023981633
2020-12-31 00:00:00+00:00,0.028379228
2021-01-31 00:00:00+00:00,0.034198295
2021-02-28 00:00:00+00:00,0.10596231
2021-03-31 00:00:00+00:00,0.07515751
2021-04-30 00:00:00+00:00,0.045169927
2021-05-31 00:00:00+00:00,0.028996924
2021-06-30 00:00:00+00:00,0.025578415
2021-07-31 00:00:00+00:00,0.02393152
2021-08-31 00:00:00+00:00,0.023647128
2021-09-30 00:00:00+00:00,0.02356972
2021-10-31 00:00:00+00:00,0.023424113
2021-11-30 00:00:00+00:00,0.023266215
2021-12-31 00:00:00+00:00,0.023713088
2022-01-31 00:00:00+00:00,0.02664054
2022-02-28 00:00:00+00:00,0.0292748
2022-03-31 00:00:00+00:00,0.044753797
2022-04-30 00:00:00+00:00,0.0838865
2022-05-31 00:00:00+00:00,0.0413224
2022-06-30 00:00:00+00:00,0.026151044
2022-07-31 00:00:00+00:00,0.022980528
2022-08-31 00:00:00+00:00,0.022521792
2022-09-30 00:00:00+00:00,0.022751503
2022-10-31 00:00:00+00:00,0.022358624
2022-11-30 00:00:00+00:00,0.022110265
2022-12-31 00:00:00+00:00,0.026835967
2023-01-31 00:00:00+00:00,0.027205685
2023-02-28 00:00:00+00:00,0.043965556
2023-03-31 00:00:00+00:00,0.05818027
