time,rainfall_month_MIROC5_rcp85
2016-01-31 00:00:00+00:00,0.008053604
2016-02-29 00:00:00+00:00,0.24537821
2016-03-31 00:00:00+00:00,0.7726794
2016-04-30 00:00:00+00:00,0.25306508
2016-05-31 00:00:00+00:00,0.009270043
2016-06-30 00:00:00+00:00,0.036303796
2016-07-31 00:00:00+00:00,0.50984067
2016-08-31 00:00:00+00:00,0.36317244
2016-09-30 00:00:00+00:00,0.09584588
2016-10-31 00:00:00+00:00,0.06527223
2016-11-30 00:00:00+00:00,0.86606693
2016-12-31 00:00:00+00:00,0.16334902
2017-01-31 00:00:00+00:00,0.07355921
2017-02-28 00:00:00+00:00,0.0891324
2017-03-31 00:00:00+00:00,1.5118016
2017-04-30 00:00:00+00:00,0.6608303
2017-05-31 00:00:00+00:00,0.3941061
2017-06-30 00:00:00+00:00,0.12361988
2017-07-31 00:00:00+00:00,0.36253986
2017-08-31 00:00:00+00:00,0.4556467
2017-09-30 00:00:00+00:00,0.02205468
2017-10-31 00:00:00+00:00,0.32643962
2017-11-30 00:00:00+00:00,0.112739325
2017-12-31 00:00:00+00:00,0.27273145
2018-01-31 00:00:00+00:00,0.07365115
2018-02-28 00:00:00+00:00,1.2074331
2018-03-31 00:00:00+00:00,0.85044307
2018-04-30 00:00:00+00:00,0.16613576
2018-05-31 00:00:00+00:00,0.52386814
2018-06-30 00:00:00+00:00,0.0071423887
2018-07-31 00:00:00+00:00,0.57882273
2018-08-31 00:00:00+00:00,0.057440035
2018-09-30 00:00:00+00:00,0.5128498
2018-10-31 00:00:00+00:00,0.020666966
2018-11-30 00:00:00+00:00,0.011019278
2018-12-31 00:00:00+00:00,0.18882354
2019-01-31 00:00:00+00:00,0.7069979
2019-02-28 00:00:00+00:00,2.4515712
2019-03-31 00:00:00+00:00,1.0431587
2019-04-30 00:00:00+00:00,1.1285452
2019-05-31 00:00:00+00:00,0.36630845
2019-06-30 00:00:00+00:00,0.0014164555
2019-07-31 00:00:00+00:00,0.40083778
2019-08-31 00:00:00+00:00,0.3178442
2019-09-30 00:00:00+00:00,0.09665691
2019-10-31 00:00:00+00:00,0.33848453
2019-11-30 00:00:00+00:00,0.2444005
2019-12-31 00:00:00+00:00,0.099506
2020-01-31 00:00:00+00:00,0.15965553
2020-02-29 00:00:00+00:00,0.096272804
2020-03-31 00:00:00+00:00,1.1238743
2020-04-30 00:00:00+00:00,0.104655884
2020-05-31 00:00:00+00:00,6.640529e-05
2020-06-30 00:00:00+00:00,0.041695826
2020-07-31 00:00:00+00:00,0.50429976
2020-08-31 00:00:00+00:00,0.287526
2020-09-30 00:00:00+00:00,0.16844115
2020-10-31 00:00:00+00:00,0.00029036184
2020-11-30 00:00:00+00:00,0.3665268
2020-12-31 00:00:00+00:00,0.7887498
2021-01-31 00:00:00+00:00,0.14728013
2021-02-28 00:00:00+00:00,2.2069457
2021-03-31 00:00:00+00:00,0.3197889
2021-04-30 00:00:00+00:00,0.15098011
2021-05-31 00:00:00+00:00,0.0133683
2021-06-30 00:00:00+00:00,0.00018564946
2021-07-31 00:00:00+00:00,0.12061824
2021-08-31 00:00:00+00:00,0.72297114
2021-09-30 00:00:00+00:00,0.336992
2021-10-31 00:00:00+00:00,0.08986213
2021-11-30 00:00:00+00:00,0.4942332
2021-12-31 00:00:00+00:00,0.43724266
2022-01-31 00:00:00+00:00,0.46557292
2022-02-28 00:00:00+00:00,0.40919626
2022-03-31 00:00:00+00:00,0.30803144
2022-04-30 00:00:00+00:00,0.008691087
2022-05-31 00:00:00+00:00,0.08686458
2022-06-30 00:00:00+00:00,0.03184652
2022-07-31 00:00:00+00:00,0.19041559
2022-08-31 00:00:00+00:00,0.21766509
2022-09-30 00:00:00+00:00,0.06576695
2022-10-31 00:00:00+00:00,0.008231498
2022-11-30 00:00:00+00:00,0.23346387
