time,soilmoist1_month_HadGEM2-ES_rcp85
2016-05-31 00:00:00+00:00,6.533624
2016-06-30 00:00:00+00:00,5.436083
2016-07-31 00:00:00+00:00,7.2635756
2016-08-31 00:00:00+00:00,7.3827806
2016-09-30 00:00:00+00:00,5.687116
2016-10-31 00:00:00+00:00,5.3144107
2016-11-30 00:00:00+00:00,13.322709
2016-12-31 00:00:00+00:00,11.527246
2017-01-31 00:00:00+00:00,14.216833
2017-02-28 00:00:00+00:00,18.252039
2017-03-31 00:00:00+00:00,12.813686
2017-04-30 00:00:00+00:00,8.50678
2017-05-31 00:00:00+00:00,6.764496
2017-06-30 00:00:00+00:00,5.6265574
2017-07-31 00:00:00+00:00,5.808053
2017-08-31 00:00:00+00:00,6.23866
2017-09-30 00:00:00+00:00,5.730636
2017-10-31 00:00:00+00:00,5.7183633
2017-11-30 00:00:00+00:00,9.502077
2017-12-31 00:00:00+00:00,8.809666
2018-01-31 00:00:00+00:00,13.925245
2018-02-28 00:00:00+00:00,16.645407
2018-03-31 00:00:00+00:00,8.375043
2018-04-30 00:00:00+00:00,6.4295225
2018-05-31 00:00:00+00:00,7.8929815
2018-06-30 00:00:00+00:00,5.5192733
2018-07-31 00:00:00+00:00,5.5721273
2018-08-31 00:00:00+00:00,6.354649
2018-09-30 00:00:00+00:00,5.4394865
2018-10-31 00:00:00+00:00,6.5341783
2018-11-30 00:00:00+00:00,13.549885
2018-12-31 00:00:00+00:00,10.0602255
2019-01-31 00:00:00+00:00,11.243412
2019-02-28 00:00:00+00:00,14.416458
2019-03-31 00:00:00+00:00,8.472967
2019-04-30 00:00:00+00:00,6.2168775
2019-05-31 00:00:00+00:00,5.378732
2019-06-30 00:00:00+00:00,5.330101
2019-07-31 00:00:00+00:00,5.7342234
2019-08-31 00:00:00+00:00,6.582818
2019-09-30 00:00:00+00:00,5.509751
2019-10-31 00:00:00+00:00,6.776002
2019-11-30 00:00:00+00:00,5.578024
2019-12-31 00:00:00+00:00,5.5484257
2020-01-31 00:00:00+00:00,11.390608
2020-02-29 00:00:00+00:00,9.27866
2020-03-31 00:00:00+00:00,7.312314
2020-04-30 00:00:00+00:00,7.1920724
2020-05-31 00:00:00+00:00,5.3318324
2020-06-30 00:00:00+00:00,5.3082523
2020-07-31 00:00:00+00:00,6.7534604
2020-08-31 00:00:00+00:00,6.260426
2020-09-30 00:00:00+00:00,7.3300405
2020-10-31 00:00:00+00:00,9.887565
2020-11-30 00:00:00+00:00,6.1733384
2020-12-31 00:00:00+00:00,17.16564
2021-01-31 00:00:00+00:00,19.31456
2021-02-28 00:00:00+00:00,14.484588
2021-03-31 00:00:00+00:00,11.2237835
2021-04-30 00:00:00+00:00,7.236505
2021-05-31 00:00:00+00:00,8.984106
