time,et_month_HadGEM2-ES_rcp45
2016-02-29 00:00:00+00:00,0.9720496
2016-03-31 00:00:00+00:00,1.3939221
2016-04-30 00:00:00+00:00,1.1918626
2016-05-31 00:00:00+00:00,0.49232754
2016-06-30 00:00:00+00:00,0.22680028
2016-07-31 00:00:00+00:00,0.11069672
2016-08-31 00:00:00+00:00,0.03681707
2016-09-30 00:00:00+00:00,0.053468645
2016-10-31 00:00:00+00:00,0.18378252
2016-11-30 00:00:00+00:00,0.097358614
2016-12-31 00:00:00+00:00,0.32975048
2017-01-31 00:00:00+00:00,0.450527
2017-02-28 00:00:00+00:00,0.94585997
2017-03-31 00:00:00+00:00,1.7988129
2017-04-30 00:00:00+00:00,1.4012533
2017-05-31 00:00:00+00:00,0.49149385
2017-06-30 00:00:00+00:00,0.32839286
2017-07-31 00:00:00+00:00,0.0446962
2017-08-31 00:00:00+00:00,0.13786875
2017-09-30 00:00:00+00:00,0.09097006
2017-10-31 00:00:00+00:00,0.7583725
2017-11-30 00:00:00+00:00,0.20781316
2017-12-31 00:00:00+00:00,0.23761837
2018-01-31 00:00:00+00:00,0.523337
2018-02-28 00:00:00+00:00,0.9202935
2018-03-31 00:00:00+00:00,0.8612291
2018-04-30 00:00:00+00:00,0.81114745
2018-05-31 00:00:00+00:00,0.29276007
2018-06-30 00:00:00+00:00,0.10159112
2018-07-31 00:00:00+00:00,0.037962884
2018-08-31 00:00:00+00:00,0.13552336
2018-09-30 00:00:00+00:00,0.6163395
2018-10-31 00:00:00+00:00,0.26012114
2018-11-30 00:00:00+00:00,0.71004814
2018-12-31 00:00:00+00:00,0.58069414
2019-01-31 00:00:00+00:00,0.54355705
2019-02-28 00:00:00+00:00,1.1607034
2019-03-31 00:00:00+00:00,1.2537943
2019-04-30 00:00:00+00:00,1.2723752
2019-05-31 00:00:00+00:00,0.4463056
2019-06-30 00:00:00+00:00,0.15553954
2019-07-31 00:00:00+00:00,0.116179556
2019-08-31 00:00:00+00:00,0.11133044
2019-09-30 00:00:00+00:00,0.18543655
2019-10-31 00:00:00+00:00,0.030145979
2019-11-30 00:00:00+00:00,0.41031364
2019-12-31 00:00:00+00:00,0.5534861
2020-01-31 00:00:00+00:00,0.40259817
2020-02-29 00:00:00+00:00,0.485288
2020-03-31 00:00:00+00:00,0.5311719
2020-04-30 00:00:00+00:00,0.41852024
2020-05-31 00:00:00+00:00,0.15974188
2020-06-30 00:00:00+00:00,0.16717166
2020-07-31 00:00:00+00:00,0.22441977
2020-08-31 00:00:00+00:00,0.063233085
2020-09-30 00:00:00+00:00,0.056955572
2020-10-31 00:00:00+00:00,0.012747237
2020-11-30 00:00:00+00:00,0.3278247
2020-12-31 00:00:00+00:00,0.2714073
2021-01-31 00:00:00+00:00,0.3749778
2021-02-28 00:00:00+00:00,0.45702705
2021-03-31 00:00:00+00:00,0.17835678
2021-04-30 00:00:00+00:00,0.07536322
2021-05-31 00:00:00+00:00,0.056599982
2021-06-30 00:00:00+00:00,0.009185592
2021-07-31 00:00:00+00:00,0.072935976
2021-08-31 00:00:00+00:00,0.04997342
2021-09-30 00:00:00+00:00,0.043930642
2021-10-31 00:00:00+00:00,0.2821335
2021-11-30 00:00:00+00:00,0.30126613
2021-12-31 00:00:00+00:00,0.18652755
2022-01-31 00:00:00+00:00,0.20493372
2022-02-28 00:00:00+00:00,0.5730134
2022-03-31 00:00:00+00:00,0.47932237
2022-04-30 00:00:00+00:00,0.3711741
2022-05-31 00:00:00+00:00,0.12271552
2022-06-30 00:00:00+00:00,0.044496793
2022-07-31 00:00:00+00:00,0.06408016
2022-08-31 00:00:00+00:00,0.118554324
2022-09-30 00:00:00+00:00,0.3040687
2022-10-31 00:00:00+00:00,0.13819334
2022-11-30 00:00:00+00:00,0.36423227
2022-12-31 00:00:00+00:00,0.18095396
2023-01-31 00:00:00+00:00,0.13622558
2023-02-28 00:00:00+00:00,0.6711932
2023-03-31 00:00:00+00:00,0.3784953
2023-04-30 00:00:00+00:00,0.74129426
2023-05-31 00:00:00+00:00,0.7454364
2023-06-30 00:00:00+00:00,0.2645643
2023-07-31 00:00:00+00:00,0.276129
2023-08-31 00:00:00+00:00,0.2856405
2023-09-30 00:00:00+00:00,0.5491591
2023-10-31 00:00:00+00:00,1.1149187
2023-11-30 00:00:00+00:00,0.69515556
