time,et_month_CNRM-CM5_rcp85
2016-01-31 00:00:00+00:00,0.39635774
2016-02-29 00:00:00+00:00,0.82569563
2016-03-31 00:00:00+00:00,0.6917582
2016-04-30 00:00:00+00:00,0.7925129
2016-05-31 00:00:00+00:00,0.33742994
2016-06-30 00:00:00+00:00,0.13892446
2016-07-31 00:00:00+00:00,0.5316212
2016-08-31 00:00:00+00:00,0.87298393
2016-09-30 00:00:00+00:00,1.5345608
2016-10-31 00:00:00+00:00,0.32254365
2016-11-30 00:00:00+00:00,0.18660025
2016-12-31 00:00:00+00:00,0.58517385
2017-01-31 00:00:00+00:00,0.971394
2017-02-28 00:00:00+00:00,1.0624182
2017-03-31 00:00:00+00:00,1.3126479
2017-04-30 00:00:00+00:00,0.7079634
2017-05-31 00:00:00+00:00,0.530496
2017-06-30 00:00:00+00:00,0.12776572
2017-07-31 00:00:00+00:00,0.41571403
2017-08-31 00:00:00+00:00,0.08964712
2017-09-30 00:00:00+00:00,0.36980122
2017-10-31 00:00:00+00:00,0.21046013
2017-11-30 00:00:00+00:00,0.27070364
2017-12-31 00:00:00+00:00,0.3885309
2018-01-31 00:00:00+00:00,0.39605424
2018-02-28 00:00:00+00:00,0.818458
2018-03-31 00:00:00+00:00,0.52467954
2018-04-30 00:00:00+00:00,0.64474463
2018-05-31 00:00:00+00:00,0.7113248
2018-06-30 00:00:00+00:00,0.22109039
2018-07-31 00:00:00+00:00,0.073193155
2018-08-31 00:00:00+00:00,1.1540285
2018-09-30 00:00:00+00:00,0.32213843
2018-10-31 00:00:00+00:00,0.3556338
2018-11-30 00:00:00+00:00,0.53360784
2018-12-31 00:00:00+00:00,0.34246606
2019-01-31 00:00:00+00:00,0.22397316
2019-02-28 00:00:00+00:00,0.9194196
2019-03-31 00:00:00+00:00,0.7652509
2019-04-30 00:00:00+00:00,0.60177195
2019-05-31 00:00:00+00:00,0.6045049
2019-06-30 00:00:00+00:00,0.18544804
2019-07-31 00:00:00+00:00,0.14315723
2019-08-31 00:00:00+00:00,0.80062336
2019-09-30 00:00:00+00:00,0.98526675
2019-10-31 00:00:00+00:00,0.6850416
2019-11-30 00:00:00+00:00,0.5265967
2019-12-31 00:00:00+00:00,0.5194515
2020-01-31 00:00:00+00:00,0.3401036
2020-02-29 00:00:00+00:00,0.43951494
2020-03-31 00:00:00+00:00,1.192041
2020-04-30 00:00:00+00:00,0.9213453
2020-05-31 00:00:00+00:00,0.45793733
2020-06-30 00:00:00+00:00,0.15788174
2020-07-31 00:00:00+00:00,0.06805542
2020-08-31 00:00:00+00:00,0.32628196
2020-09-30 00:00:00+00:00,0.40802506
2020-10-31 00:00:00+00:00,0.014663821
2020-11-30 00:00:00+00:00,0.22228396
2020-12-31 00:00:00+00:00,0.41762966
2021-01-31 00:00:00+00:00,0.63516504
2021-02-28 00:00:00+00:00,0.8848076
2021-03-31 00:00:00+00:00,0.976081
2021-04-30 00:00:00+00:00,0.50589365
2021-05-31 00:00:00+00:00,0.23629364
2021-06-30 00:00:00+00:00,0.10396761
2021-07-31 00:00:00+00:00,0.24299546
2021-08-31 00:00:00+00:00,0.25862208
2021-09-30 00:00:00+00:00,0.025407333
2021-10-31 00:00:00+00:00,0.34899667
2021-11-30 00:00:00+00:00,0.19613363
2021-12-31 00:00:00+00:00,0.073493265
2022-01-31 00:00:00+00:00,0.7557892
2022-02-28 00:00:00+00:00,1.0104944
2022-03-31 00:00:00+00:00,1.2848253
2022-04-30 00:00:00+00:00,0.9159046
2022-05-31 00:00:00+00:00,0.5183257
2022-06-30 00:00:00+00:00,0.26162395
2022-07-31 00:00:00+00:00,0.08178072
2022-08-31 00:00:00+00:00,0.61274767
2022-09-30 00:00:00+00:00,0.07277158
2022-10-31 00:00:00+00:00,0.0059974636
2022-11-30 00:00:00+00:00,0.3497093
2022-12-31 00:00:00+00:00,0.122500174
2023-01-31 00:00:00+00:00,0.55850786
2023-02-28 00:00:00+00:00,0.893052
2023-03-31 00:00:00+00:00,1.0135249
2023-04-30 00:00:00+00:00,0.96423084
2023-05-31 00:00:00+00:00,0.4333777
2023-06-30 00:00:00+00:00,0.17667872
2023-07-31 00:00:00+00:00,0.12973015
2023-08-31 00:00:00+00:00,0.21177927
2023-09-30 00:00:00+00:00,0.2601574
2023-10-31 00:00:00+00:00,0.33783093
2023-11-30 00:00:00+00:00,0.22024995
2023-12-31 00:00:00+00:00,0.09915981
2024-01-31 00:00:00+00:00,0.39028788
2024-02-29 00:00:00+00:00,0.6714759
2024-03-31 00:00:00+00:00,0.8349053
2024-04-30 00:00:00+00:00,0.5147509
2024-05-31 00:00:00+00:00,0.27268338
2024-06-30 00:00:00+00:00,0.11214212
2024-07-31 00:00:00+00:00,0.12131757
2024-08-31 00:00:00+00:00,0.5144662
2024-09-30 00:00:00+00:00,0.13127391
2024-10-31 00:00:00+00:00,0.0789808
2024-11-30 00:00:00+00:00,0.02025554
2024-12-31 00:00:00+00:00,0.051223494
2025-01-31 00:00:00+00:00,0.36205655
2025-02-28 00:00:00+00:00,0.45071858
2025-03-31 00:00:00+00:00,0.48138893
2025-04-30 00:00:00+00:00,0.37351626
2025-05-31 00:00:00+00:00,0.1686761
2025-06-30 00:00:00+00:00,0.052476417
2025-07-31 00:00:00+00:00,0.024134014
2025-08-31 00:00:00+00:00,0.13268901
2025-09-30 00:00:00+00:00,0.058815837
2025-10-31 00:00:00+00:00,0.33608636
2025-11-30 00:00:00+00:00,0.39713442
2025-12-31 00:00:00+00:00,0.17665868
2026-01-31 00:00:00+00:00,0.6753566
2026-02-28 00:00:00+00:00,1.3250918
2026-03-31 00:00:00+00:00,1.6036936
2026-04-30 00:00:00+00:00,1.4469281
2026-05-31 00:00:00+00:00,0.53938794
2026-06-30 00:00:00+00:00,0.3543398
2026-07-31 00:00:00+00:00,0.1496757
2026-08-31 00:00:00+00:00,0.17654783
2026-09-30 00:00:00+00:00,0.018843418
2026-10-31 00:00:00+00:00,0.1566008
2026-11-30 00:00:00+00:00,0.5657994
2026-12-31 00:00:00+00:00,0.47112074
2027-01-31 00:00:00+00:00,0.6458403
