time,et_month_CanESM2_rcp85
2016-02-29 00:00:00+00:00,1.0988305
2016-03-31 00:00:00+00:00,1.4709655
2016-04-30 00:00:00+00:00,1.6760058
2016-05-31 00:00:00+00:00,0.46950534
2016-06-30 00:00:00+00:00,0.22732736
2016-07-31 00:00:00+00:00,0.09682478
2016-08-31 00:00:00+00:00,0.41652682
2016-09-30 00:00:00+00:00,0.37958065
2016-10-31 00:00:00+00:00,0.17056343
2016-11-30 00:00:00+00:00,0.5609661
2016-12-31 00:00:00+00:00,0.41411763
2017-01-31 00:00:00+00:00,0.72350246
2017-02-28 00:00:00+00:00,0.7464128
2017-03-31 00:00:00+00:00,1.1967385
2017-04-30 00:00:00+00:00,0.72176147
2017-05-31 00:00:00+00:00,0.3223043
2017-06-30 00:00:00+00:00,0.18001932
2017-07-31 00:00:00+00:00,0.07617789
2017-08-31 00:00:00+00:00,0.44130677
2017-09-30 00:00:00+00:00,0.13051763
2017-10-31 00:00:00+00:00,0.048304446
2017-11-30 00:00:00+00:00,0.17875727
2017-12-31 00:00:00+00:00,0.27695003
2018-01-31 00:00:00+00:00,0.29704112
2018-02-28 00:00:00+00:00,0.43263975
2018-03-31 00:00:00+00:00,0.67405313
2018-04-30 00:00:00+00:00,0.66385317
2018-05-31 00:00:00+00:00,0.22162381
2018-06-30 00:00:00+00:00,0.2439894
2018-07-31 00:00:00+00:00,0.030052839
2018-08-31 00:00:00+00:00,0.7366616
2018-09-30 00:00:00+00:00,0.58768445
2018-10-31 00:00:00+00:00,0.041988064
2018-11-30 00:00:00+00:00,0.026536789
2018-12-31 00:00:00+00:00,0.027638875
2019-01-31 00:00:00+00:00,0.39981905
2019-02-28 00:00:00+00:00,0.62042606
2019-03-31 00:00:00+00:00,0.3540913
2019-04-30 00:00:00+00:00,0.15974526
2019-05-31 00:00:00+00:00,0.064814284
2019-06-30 00:00:00+00:00,0.035719182
2019-07-31 00:00:00+00:00,0.5985535
2019-08-31 00:00:00+00:00,0.0485283
2019-09-30 00:00:00+00:00,0.027877616
2019-10-31 00:00:00+00:00,0.06445265
2019-11-30 00:00:00+00:00,0.1173076
2019-12-31 00:00:00+00:00,0.25438076
2020-01-31 00:00:00+00:00,0.42031667
2020-02-29 00:00:00+00:00,0.7056626
2020-03-31 00:00:00+00:00,0.6843144
2020-04-30 00:00:00+00:00,0.35418937
2020-05-31 00:00:00+00:00,0.26966608
2020-06-30 00:00:00+00:00,0.053377245
2020-07-31 00:00:00+00:00,0.22803508
2020-08-31 00:00:00+00:00,0.269166
2020-09-30 00:00:00+00:00,0.1368335
2020-10-31 00:00:00+00:00,0.05342748
2020-11-30 00:00:00+00:00,0.19512916
2020-12-31 00:00:00+00:00,0.41168633
2021-01-31 00:00:00+00:00,0.35033378
2021-02-28 00:00:00+00:00,0.93838185
2021-03-31 00:00:00+00:00,0.89960575
2021-04-30 00:00:00+00:00,0.49464747
2021-05-31 00:00:00+00:00,0.2535112
2021-06-30 00:00:00+00:00,0.10123402
2021-07-31 00:00:00+00:00,0.030355208
2021-08-31 00:00:00+00:00,0.88236654
2021-09-30 00:00:00+00:00,0.3659273
2021-10-31 00:00:00+00:00,0.09797364
2021-11-30 00:00:00+00:00,0.18573163
2021-12-31 00:00:00+00:00,0.13975361
2022-01-31 00:00:00+00:00,0.38687554
2022-02-28 00:00:00+00:00,0.4790795
2022-03-31 00:00:00+00:00,0.7146494
2022-04-30 00:00:00+00:00,0.9214348
2022-05-31 00:00:00+00:00,0.46601513
2022-06-30 00:00:00+00:00,0.2666748
2022-07-31 00:00:00+00:00,0.35303804
2022-08-31 00:00:00+00:00,1.1504658
2022-09-30 00:00:00+00:00,0.67473525
2022-10-31 00:00:00+00:00,0.095707975
2022-11-30 00:00:00+00:00,0.041142426
2022-12-31 00:00:00+00:00,0.50880426
2023-01-31 00:00:00+00:00,0.45335934
2023-02-28 00:00:00+00:00,0.92913723
2023-03-31 00:00:00+00:00,0.8749141
2023-04-30 00:00:00+00:00,0.4951213
2023-05-31 00:00:00+00:00,0.25514013
2023-06-30 00:00:00+00:00,0.09322108
2023-07-31 00:00:00+00:00,0.5350137
2023-08-31 00:00:00+00:00,0.27686518
2023-09-30 00:00:00+00:00,0.122140154
2023-10-31 00:00:00+00:00,0.13994068
2023-11-30 00:00:00+00:00,0.164588
2023-12-31 00:00:00+00:00,0.24083261
2024-01-31 00:00:00+00:00,0.1936105
2024-02-29 00:00:00+00:00,0.8177366
2024-03-31 00:00:00+00:00,0.53644675
2024-04-30 00:00:00+00:00,0.13820143
2024-05-31 00:00:00+00:00,0.055236235
2024-06-30 00:00:00+00:00,0.08115072
2024-07-31 00:00:00+00:00,0.043425746
2024-08-31 00:00:00+00:00,0.25489795
2024-09-30 00:00:00+00:00,0.028920956
2024-10-31 00:00:00+00:00,0.27912107
2024-11-30 00:00:00+00:00,0.05733471
2024-12-31 00:00:00+00:00,0.20277181
2025-01-31 00:00:00+00:00,0.77059597
2025-02-28 00:00:00+00:00,0.8335165
2025-03-31 00:00:00+00:00,1.6212435
2025-04-30 00:00:00+00:00,1.6261874
2025-05-31 00:00:00+00:00,0.6762845
2025-06-30 00:00:00+00:00,0.3083131
2025-07-31 00:00:00+00:00,0.108595766
2025-08-31 00:00:00+00:00,0.37622574
2025-09-30 00:00:00+00:00,0.15216959
