time,et_month_MIROC5_rcp45
2006-01-31 00:00:00+00:00,0.08283428
2006-02-28 00:00:00+00:00,0.13381423
2006-03-31 00:00:00+00:00,0.36615992
2006-04-30 00:00:00+00:00,0.19569445
2006-05-31 00:00:00+00:00,0.04074353
2006-06-30 00:00:00+00:00,0.010615783
2006-07-31 00:00:00+00:00,0.23062353
2006-08-31 00:00:00+00:00,0.6773199
2006-09-30 00:00:00+00:00,0.16464588
2006-10-31 00:00:00+00:00,0.027203655
2006-11-30 00:00:00+00:00,0.050376683
2006-12-31 00:00:00+00:00,0.041356325
2007-01-31 00:00:00+00:00,0.110413305
2007-02-28 00:00:00+00:00,0.0894473
2007-03-31 00:00:00+00:00,0.3055202
2007-04-30 00:00:00+00:00,0.08445308
2007-05-31 00:00:00+00:00,0.043411788
2007-06-30 00:00:00+00:00,0.039461784
2007-07-31 00:00:00+00:00,0.48814484
2007-08-31 00:00:00+00:00,0.6640089
2007-09-30 00:00:00+00:00,0.94864154
2007-10-31 00:00:00+00:00,0.16681606
2007-11-30 00:00:00+00:00,0.06387487
2007-12-31 00:00:00+00:00,0.87025386
2008-01-31 00:00:00+00:00,0.5986345
2008-02-29 00:00:00+00:00,0.9064352
2008-03-31 00:00:00+00:00,0.93528926
2008-04-30 00:00:00+00:00,0.6571269
2008-05-31 00:00:00+00:00,0.25720185
2008-06-30 00:00:00+00:00,0.096961744
2008-07-31 00:00:00+00:00,0.6581444
2008-08-31 00:00:00+00:00,1.0463382
2008-09-30 00:00:00+00:00,0.10159938
2008-10-31 00:00:00+00:00,0.057771027
2008-11-30 00:00:00+00:00,0.095810026
2008-12-31 00:00:00+00:00,0.17253654
2009-01-31 00:00:00+00:00,0.15797985
2009-02-28 00:00:00+00:00,1.3893915
2009-03-31 00:00:00+00:00,1.145357
2009-04-30 00:00:00+00:00,1.3998708
2009-05-31 00:00:00+00:00,0.61233133
2009-06-30 00:00:00+00:00,0.30303985
2009-07-31 00:00:00+00:00,0.16481905
2009-08-31 00:00:00+00:00,0.096249744
2009-09-30 00:00:00+00:00,0.041767318
2009-10-31 00:00:00+00:00,0.021507872
2009-11-30 00:00:00+00:00,0.90586096
2009-12-31 00:00:00+00:00,0.33523753
2010-01-31 00:00:00+00:00,0.90003455
2010-02-28 00:00:00+00:00,0.8918401
2010-03-31 00:00:00+00:00,1.296753
2010-04-30 00:00:00+00:00,1.646256
2010-05-31 00:00:00+00:00,0.5835436
2010-06-30 00:00:00+00:00,0.2164874
2010-07-31 00:00:00+00:00,0.036753293
2010-08-31 00:00:00+00:00,0.5700538
2010-09-30 00:00:00+00:00,0.32320458
2010-10-31 00:00:00+00:00,0.28009677
2010-11-30 00:00:00+00:00,0.11106722
2010-12-31 00:00:00+00:00,0.28499418
2011-01-31 00:00:00+00:00,0.4272226
2011-02-28 00:00:00+00:00,0.76167554
2011-03-31 00:00:00+00:00,0.56637484
2011-04-30 00:00:00+00:00,0.53493214
2011-05-31 00:00:00+00:00,0.51025236
2011-06-30 00:00:00+00:00,0.17080945
2011-07-31 00:00:00+00:00,0.024183886
2011-08-31 00:00:00+00:00,0.9230574
2011-09-30 00:00:00+00:00,0.4417533
2011-10-31 00:00:00+00:00,0.16733548
2011-11-30 00:00:00+00:00,0.14444664
2011-12-31 00:00:00+00:00,0.08760656
2012-01-31 00:00:00+00:00,0.11534639
2012-02-29 00:00:00+00:00,0.41675013
2012-03-31 00:00:00+00:00,0.29445136
2012-04-30 00:00:00+00:00,0.19590192
2012-05-31 00:00:00+00:00,0.1771337
2012-06-30 00:00:00+00:00,0.035085127
2012-07-31 00:00:00+00:00,0.08740667
2012-08-31 00:00:00+00:00,0.21048586
2012-09-30 00:00:00+00:00,0.86249393
2012-10-31 00:00:00+00:00,0.051932912
2012-11-30 00:00:00+00:00,0.2542578
2012-12-31 00:00:00+00:00,0.22467187
2013-01-31 00:00:00+00:00,0.14686906
2013-02-28 00:00:00+00:00,0.43942663
2013-03-31 00:00:00+00:00,0.6065365
2013-04-30 00:00:00+00:00,0.5092687
2013-05-31 00:00:00+00:00,0.15873775
2013-06-30 00:00:00+00:00,0.12161168
2013-07-31 00:00:00+00:00,0.058899876
2013-08-31 00:00:00+00:00,0.15977567
2013-09-30 00:00:00+00:00,0.05088909
2013-10-31 00:00:00+00:00,0.1234876
2013-11-30 00:00:00+00:00,0.45259282
2013-12-31 00:00:00+00:00,0.25629523
2014-01-31 00:00:00+00:00,0.29039237
2014-02-28 00:00:00+00:00,0.39054522
2014-03-31 00:00:00+00:00,0.97415406
2014-04-30 00:00:00+00:00,0.39732233
2014-05-31 00:00:00+00:00,0.22685985
2014-06-30 00:00:00+00:00,0.14114662
2014-07-31 00:00:00+00:00,0.17021415
2014-08-31 00:00:00+00:00,0.45774165
2014-09-30 00:00:00+00:00,0.0913513
2014-10-31 00:00:00+00:00,0.084094256
2014-11-30 00:00:00+00:00,0.31171545
2014-12-31 00:00:00+00:00,0.3747857
2015-01-31 00:00:00+00:00,0.76303345
2015-02-28 00:00:00+00:00,0.7882215
2015-03-31 00:00:00+00:00,1.0910479
2015-04-30 00:00:00+00:00,0.8619171
2015-05-31 00:00:00+00:00,1.450324
2015-06-30 00:00:00+00:00,0.41181976
2015-07-31 00:00:00+00:00,0.092357405
2015-08-31 00:00:00+00:00,0.026090119
2015-09-30 00:00:00+00:00,0.009027598
2015-10-31 00:00:00+00:00,0.12335371
2015-11-30 00:00:00+00:00,0.56079555
2015-12-31 00:00:00+00:00,0.53165364
