time,et_month_MIROC5_rcp85
2016-02-29 00:00:00+00:00,0.20937577
2016-03-31 00:00:00+00:00,0.63174367
2016-04-30 00:00:00+00:00,0.3536443
2016-05-31 00:00:00+00:00,0.13693272
2016-06-30 00:00:00+00:00,0.06834887
2016-07-31 00:00:00+00:00,0.45133317
2016-08-31 00:00:00+00:00,0.39362442
2016-09-30 00:00:00+00:00,0.1112744
2016-10-31 00:00:00+00:00,0.05915884
2016-11-30 00:00:00+00:00,0.54306006
2016-12-31 00:00:00+00:00,0.26637068
2017-01-31 00:00:00+00:00,0.15925644
2017-02-28 00:00:00+00:00,0.14470346
2017-03-31 00:00:00+00:00,0.7419006
2017-04-30 00:00:00+00:00,0.9768504
2017-05-31 00:00:00+00:00,0.69995296
2017-06-30 00:00:00+00:00,0.2608858
2017-07-31 00:00:00+00:00,0.24364719
2017-08-31 00:00:00+00:00,0.5509468
2017-09-30 00:00:00+00:00,0.060253
2017-10-31 00:00:00+00:00,0.19097699
2017-11-30 00:00:00+00:00,0.15276043
2017-12-31 00:00:00+00:00,0.21520472
2018-01-31 00:00:00+00:00,0.09534319
2018-02-28 00:00:00+00:00,0.5200892
2018-03-31 00:00:00+00:00,0.8385746
2018-04-30 00:00:00+00:00,0.5180611
2018-05-31 00:00:00+00:00,0.5986001
2018-06-30 00:00:00+00:00,0.17578684
2018-07-31 00:00:00+00:00,0.47086552
2018-08-31 00:00:00+00:00,0.15735507
2018-09-30 00:00:00+00:00,0.4682471
2018-10-31 00:00:00+00:00,0.056605637
2018-11-30 00:00:00+00:00,0.012856784
2018-12-31 00:00:00+00:00,0.07763592
2019-01-31 00:00:00+00:00,0.40642497
2019-02-28 00:00:00+00:00,0.94764864
2019-03-31 00:00:00+00:00,1.3520206
2019-04-30 00:00:00+00:00,1.370585
2019-05-31 00:00:00+00:00,0.5510181
2019-06-30 00:00:00+00:00,0.34190106
2019-07-31 00:00:00+00:00,0.33968002
2019-08-31 00:00:00+00:00,0.4494033
2019-09-30 00:00:00+00:00,0.11667484
2019-10-31 00:00:00+00:00,0.23212086
2019-11-30 00:00:00+00:00,0.23633379
2019-12-31 00:00:00+00:00,0.10892784
2020-01-31 00:00:00+00:00,0.15849371
2020-02-29 00:00:00+00:00,0.14576939
2020-03-31 00:00:00+00:00,0.871436
2020-04-30 00:00:00+00:00,0.31280723
2020-05-31 00:00:00+00:00,0.086266294
2020-06-30 00:00:00+00:00,0.05875949
2020-07-31 00:00:00+00:00,0.46640754
2020-08-31 00:00:00+00:00,0.27668163
2020-09-30 00:00:00+00:00,0.1754281
2020-10-31 00:00:00+00:00,0.023457894
2020-11-30 00:00:00+00:00,0.25756845
2020-12-31 00:00:00+00:00,0.3896392
2021-01-31 00:00:00+00:00,0.21726811
2021-02-28 00:00:00+00:00,0.9879105
2021-03-31 00:00:00+00:00,0.71184427
2021-04-30 00:00:00+00:00,0.4872802
2021-05-31 00:00:00+00:00,0.34974048
2021-06-30 00:00:00+00:00,0.12801109
2021-07-31 00:00:00+00:00,0.115643226
2021-08-31 00:00:00+00:00,0.303779
2021-09-30 00:00:00+00:00,0.68885714
2021-10-31 00:00:00+00:00,0.0923615
2021-11-30 00:00:00+00:00,0.34329912
2021-12-31 00:00:00+00:00,0.28479928
2022-01-31 00:00:00+00:00,0.41069096
2022-02-28 00:00:00+00:00,0.5041217
2022-03-31 00:00:00+00:00,0.43981323
2022-04-30 00:00:00+00:00,0.1679072
2022-05-31 00:00:00+00:00,0.17342168
2022-06-30 00:00:00+00:00,0.05660359
2022-07-31 00:00:00+00:00,0.18089847
2022-08-31 00:00:00+00:00,0.19430438
2022-09-30 00:00:00+00:00,0.09467753
2022-10-31 00:00:00+00:00,0.007208973
2022-11-30 00:00:00+00:00,0.07882876
2022-12-31 00:00:00+00:00,0.2534377
2023-01-31 00:00:00+00:00,0.7583153
2023-02-28 00:00:00+00:00,0.8574135
2023-03-31 00:00:00+00:00,0.9276995
2023-04-30 00:00:00+00:00,0.8414529
2023-05-31 00:00:00+00:00,0.27029058
2023-06-30 00:00:00+00:00,0.2517087
2023-07-31 00:00:00+00:00,0.18490456
2023-08-31 00:00:00+00:00,0.2860943
2023-09-30 00:00:00+00:00,0.15931074
2023-10-31 00:00:00+00:00,0.018807929
2023-11-30 00:00:00+00:00,0.103991926
2023-12-31 00:00:00+00:00,0.5666463
2024-01-31 00:00:00+00:00,1.0662119
2024-02-29 00:00:00+00:00,1.1492625
2024-03-31 00:00:00+00:00,1.2778785
2024-04-30 00:00:00+00:00,1.1756783
2024-05-31 00:00:00+00:00,0.48832357
2024-06-30 00:00:00+00:00,0.20151374
2024-07-31 00:00:00+00:00,0.35414934
2024-08-31 00:00:00+00:00,0.2636382
2024-09-30 00:00:00+00:00,0.17422551
2024-10-31 00:00:00+00:00,0.08889349
2024-11-30 00:00:00+00:00,0.053977303
2024-12-31 00:00:00+00:00,0.06804224
2025-01-31 00:00:00+00:00,0.045991078
2025-02-28 00:00:00+00:00,1.0795611
2025-03-31 00:00:00+00:00,1.0396317
2025-04-30 00:00:00+00:00,0.7656705
2025-05-31 00:00:00+00:00,0.27956444
2025-06-30 00:00:00+00:00,0.11760789
2025-07-31 00:00:00+00:00,0.051990684
2025-08-31 00:00:00+00:00,0.25177336
2025-09-30 00:00:00+00:00,0.99046105
2025-10-31 00:00:00+00:00,0.4770016
2025-11-30 00:00:00+00:00,0.16383031
2025-12-31 00:00:00+00:00,0.071297064
2026-01-31 00:00:00+00:00,0.21693893
2026-02-28 00:00:00+00:00,0.13694899
2026-03-31 00:00:00+00:00,0.26834753
2026-04-30 00:00:00+00:00,1.212022
2026-05-31 00:00:00+00:00,0.2459564
2026-06-30 00:00:00+00:00,0.120450474
2026-07-31 00:00:00+00:00,0.13699208
2026-08-31 00:00:00+00:00,0.0075828983
2026-09-30 00:00:00+00:00,0.18875226
2026-10-31 00:00:00+00:00,0.6333511
2026-11-30 00:00:00+00:00,0.2658124
2026-12-31 00:00:00+00:00,0.4231753
2027-01-31 00:00:00+00:00,0.5010489
2027-02-28 00:00:00+00:00,0.36812183
2027-03-31 00:00:00+00:00,0.92745125
2027-04-30 00:00:00+00:00,0.58334243
2027-05-31 00:00:00+00:00,0.354121
2027-06-30 00:00:00+00:00,0.17265843
2027-07-31 00:00:00+00:00,0.09869941
2027-08-31 00:00:00+00:00,0.17579658
2027-09-30 00:00:00+00:00,0.12119759
2027-10-31 00:00:00+00:00,0.21468516
2027-11-30 00:00:00+00:00,0.043211088
2027-12-31 00:00:00+00:00,0.57705534
2028-01-31 00:00:00+00:00,0.61581546
2028-02-29 00:00:00+00:00,0.6955976
2028-03-31 00:00:00+00:00,0.6102803
2028-04-30 00:00:00+00:00,0.3895949
2028-05-31 00:00:00+00:00,0.19101529
2028-06-30 00:00:00+00:00,0.07743376
2028-07-31 00:00:00+00:00,0.08847069
2028-08-31 00:00:00+00:00,0.017698739
2028-09-30 00:00:00+00:00,0.2997136
2028-10-31 00:00:00+00:00,0.100988
2028-11-30 00:00:00+00:00,0.24346156
2028-12-31 00:00:00+00:00,0.21617818
2029-01-31 00:00:00+00:00,0.9215227
2029-02-28 00:00:00+00:00,1.3694277
2029-03-31 00:00:00+00:00,1.6561646
