time,rainfall_month_CNRM-CM5_rcp45
2016-01-31 00:00:00+00:00,2.6151574
2016-02-29 00:00:00+00:00,0.25844464
2016-03-31 00:00:00+00:00,0.96353734
2016-04-30 00:00:00+00:00,0.030025622
2016-05-31 00:00:00+00:00,0.0027491325
2016-06-30 00:00:00+00:00,0.057672452
2016-07-31 00:00:00+00:00,0.42582357
2016-08-31 00:00:00+00:00,0.050117273
2016-09-30 00:00:00+00:00,1.5902658
2016-10-31 00:00:00+00:00,0.76187223
2016-11-30 00:00:00+00:00,0.00945525
2016-12-31 00:00:00+00:00,0.55160224
2017-01-31 00:00:00+00:00,0.11345375
2017-02-28 00:00:00+00:00,4.9230914
2017-03-31 00:00:00+00:00,0.18587689
2017-04-30 00:00:00+00:00,0.19906585
2017-05-31 00:00:00+00:00,0.31125465
2017-06-30 00:00:00+00:00,2.0893027e-05
2017-07-31 00:00:00+00:00,0.96706027
2017-08-31 00:00:00+00:00,0.063876055
2017-09-30 00:00:00+00:00,0.004281913
2017-10-31 00:00:00+00:00,0.048902452
2017-11-30 00:00:00+00:00,0.36882433
2017-12-31 00:00:00+00:00,1.1745604
2018-01-31 00:00:00+00:00,1.951631
2018-02-28 00:00:00+00:00,3.355706
2018-03-31 00:00:00+00:00,1.3091999
2018-04-30 00:00:00+00:00,0.3763356
2018-05-31 00:00:00+00:00,0.00540165
2018-06-30 00:00:00+00:00,0.042918846
2018-07-31 00:00:00+00:00,0.31331745
2018-08-31 00:00:00+00:00,0.13619903
2018-09-30 00:00:00+00:00,0.03825394
2018-10-31 00:00:00+00:00,0.05547529
2018-11-30 00:00:00+00:00,0.9581975
2018-12-31 00:00:00+00:00,0.53048056
2019-01-31 00:00:00+00:00,0.14102915
2019-02-28 00:00:00+00:00,0.30546066
2019-03-31 00:00:00+00:00,0.41339305
2019-04-30 00:00:00+00:00,0.2137226
2019-05-31 00:00:00+00:00,0.019954914
2019-06-30 00:00:00+00:00,8.9541545e-06
2019-07-31 00:00:00+00:00,0.03999327
2019-08-31 00:00:00+00:00,0.39132953
2019-09-30 00:00:00+00:00,0.017721297
2019-10-31 00:00:00+00:00,0.045896716
2019-11-30 00:00:00+00:00,0.033740792
2019-12-31 00:00:00+00:00,0.21971571
2020-01-31 00:00:00+00:00,1.8810923
2020-02-29 00:00:00+00:00,2.2721226
2020-03-31 00:00:00+00:00,0.83119583
2020-04-30 00:00:00+00:00,0.18734531
2020-05-31 00:00:00+00:00,0.1571658
2020-06-30 00:00:00+00:00,0.010907531
