time,runoff_day_livneh_vic
1950-04-29 00:00:00+00:00,0.00035808622
1950-04-30 00:00:00+00:00,0.00016893729
1950-05-01 00:00:00+00:00,0.0005973274
1950-05-02 00:00:00+00:00,0.0021996824
1950-05-03 00:00:00+00:00,0.007350078
1950-05-04 00:00:00+00:00,0.003016924
1950-05-05 00:00:00+00:00,5.3725667e-05
1950-05-06 00:00:00+00:00,1.2732275e-05
1950-05-07 00:00:00+00:00,1.8681636e-05
1950-05-08 00:00:00+00:00,4.572202e-05
1950-05-09 00:00:00+00:00,8.2636696e-05
1950-05-10 00:00:00+00:00,0.00013064827
1950-05-11 00:00:00+00:00,0.000163392
1950-05-12 00:00:00+00:00,0.00013610117
1950-05-13 00:00:00+00:00,0.0001372782
1950-05-14 00:00:00+00:00,0.00012285047
1950-05-15 00:00:00+00:00,0.00014652118
1950-05-16 00:00:00+00:00,0.00073767494
1950-05-17 00:00:00+00:00,0.0003936798
1950-05-18 00:00:00+00:00,5.3723328e-05
1950-05-19 00:00:00+00:00,0.000101559155
1950-05-20 00:00:00+00:00,0.00018227959
1950-05-21 00:00:00+00:00,0.00024760637
1950-05-22 00:00:00+00:00,0.00017413797
1950-05-23 00:00:00+00:00,0.00012163949
1950-05-24 00:00:00+00:00,5.2266158e-05
1950-05-25 00:00:00+00:00,0.000109601555
1950-05-26 00:00:00+00:00,0.00020158388
1950-05-27 00:00:00+00:00,0.00025972127
1950-05-28 00:00:00+00:00,0.00020487043
1950-05-29 00:00:00+00:00,0.00017564457
1950-05-30 00:00:00+00:00,9.32262e-05
1950-05-31 00:00:00+00:00,9.3641975e-05
1950-06-01 00:00:00+00:00,9.111692e-05
1950-06-02 00:00:00+00:00,9.649644e-05
1950-06-03 00:00:00+00:00,0.000102374
1950-06-04 00:00:00+00:00,0.00013818155
1950-06-05 00:00:00+00:00,0.00014762754
1950-06-06 00:00:00+00:00,0.00014113505
1950-06-07 00:00:00+00:00,0.00013925578
1950-06-08 00:00:00+00:00,6.4899614e-05
1950-06-09 00:00:00+00:00,0.0
1950-06-10 00:00:00+00:00,0.0
1950-06-11 00:00:00+00:00,0.0
1950-06-12 00:00:00+00:00,0.0
1950-06-13 00:00:00+00:00,0.0
1950-06-14 00:00:00+00:00,0.0
1950-06-15 00:00:00+00:00,0.0
1950-06-16 00:00:00+00:00,0.0
1950-06-17 00:00:00+00:00,0.0
1950-06-18 00:00:00+00:00,0.0
1950-06-19 00:00:00+00:00,0.0
1950-06-20 00:00:00+00:00,0.0
1950-06-21 00:00:00+00:00,0.0
1950-06-22 00:00:00+00:00,0.0
1950-06-23 00:00:00+00:00,4.978678e-07
1950-06-24 00:00:00+00:00,6.5305784e-07
1950-06-25 00:00:00+00:00,0.0
1950-06-26 00:00:00+00:00,0.0
1950-06-27 00:00:00+00:00,0.0
1950-06-28 00:00:00+00:00,0.0
1950-06-29 00:00:00+00:00,0.0
1950-06-30 00:00:00+00:00,0.0
1950-07-01 00:00:00+00:00,0.0
1950-07-02 00:00:00+00:00,0.0
1950-07-03 00:00:00+00:00,1.3861994e-05
1950-07-04 00:00:00+00:00,0.00020948843
1950-07-05 00:00:00+00:00,0.013704767
1950-07-06 00:00:00+00:00,0.026312092
1950-07-07 00:00:00+00:00,0.033745233
1950-07-08 00:00:00+00:00,0.010943425
1950-07-09 00:00:00+00:00,0.0008095922
1950-07-10 00:00:00+00:00,6.0705393e-06
1950-07-11 00:00:00+00:00,0.0
1950-07-12 00:00:00+00:00,0.0
1950-07-13 00:00:00+00:00,0.0
1950-07-14 00:00:00+00:00,0.0
1950-07-15 00:00:00+00:00,0.0
1950-07-16 00:00:00+00:00,3.3743913e-07
1950-07-17 00:00:00+00:00,3.5627916e-06
1950-07-18 00:00:00+00:00,1.6898322e-05
1950-07-19 00:00:00+00:00,0.0
1950-07-20 00:00:00+00:00,1.0668194e-05
1950-07-21 00:00:00+00:00,0.0012539274
1950-07-22 00:00:00+00:00,0.0033238153
1950-07-23 00:00:00+00:00,0.007583203
1950-07-24 00:00:00+00:00,0.0023476516
1950-07-25 00:00:00+00:00,0.0031662062
1950-07-26 00:00:00+00:00,0.002266338
1950-07-27 00:00:00+00:00,0.0053634252
1950-07-28 00:00:00+00:00,0.0
1950-07-29 00:00:00+00:00,0.0
1950-07-30 00:00:00+00:00,0.00013638724
1950-07-31 00:00:00+00:00,0.016801476
1950-08-01 00:00:00+00:00,0.003376976
1950-08-02 00:00:00+00:00,3.6217375e-07
1950-08-03 00:00:00+00:00,0.0
1950-08-04 00:00:00+00:00,0.0
1950-08-05 00:00:00+00:00,0.0
1950-08-06 00:00:00+00:00,3.1838474e-07
1950-08-07 00:00:00+00:00,1.0631861e-07
1950-08-08 00:00:00+00:00,0.0
1950-08-09 00:00:00+00:00,0.0
1950-08-10 00:00:00+00:00,0.0024707809
1950-08-11 00:00:00+00:00,0.00010474026
1950-08-12 00:00:00+00:00,3.374702e-05
1950-08-13 00:00:00+00:00,0.0
1950-08-14 00:00:00+00:00,0.0
1950-08-15 00:00:00+00:00,0.0
1950-08-16 00:00:00+00:00,0.0
1950-08-17 00:00:00+00:00,0.0
1950-08-18 00:00:00+00:00,0.0
1950-08-19 00:00:00+00:00,0.0
1950-08-20 00:00:00+00:00,0.0075155576
1950-08-21 00:00:00+00:00,0.002131654
1950-08-22 00:00:00+00:00,0.0
1950-08-23 00:00:00+00:00,0.0
1950-08-24 00:00:00+00:00,3.8447206e-06
1950-08-25 00:00:00+00:00,6.510274e-07
1950-08-26 00:00:00+00:00,2.6077621e-05
1950-08-27 00:00:00+00:00,6.146903e-05
1950-08-28 00:00:00+00:00,0.0
1950-08-29 00:00:00+00:00,0.0
1950-08-30 00:00:00+00:00,0.0
1950-08-31 00:00:00+00:00,5.6441553e-05
1950-09-01 00:00:00+00:00,0.00038940492
1950-09-02 00:00:00+00:00,0.00010393997
1950-09-03 00:00:00+00:00,0.00010089446
1950-09-04 00:00:00+00:00,1.0565974e-05
1950-09-05 00:00:00+00:00,0.01678992
1950-09-06 00:00:00+00:00,0.034400724
1950-09-07 00:00:00+00:00,0.047930785
1950-09-08 00:00:00+00:00,0.0027778114
1950-09-09 00:00:00+00:00,3.2064454e-05
1950-09-10 00:00:00+00:00,8.58787e-08
1950-09-11 00:00:00+00:00,2.8933744e-06
1950-09-12 00:00:00+00:00,0.0
1950-09-13 00:00:00+00:00,0.0
1950-09-14 00:00:00+00:00,0.0
1950-09-15 00:00:00+00:00,0.0
1950-09-16 00:00:00+00:00,3.279968e-05
