time,baseflow_day_livneh_vic
1950-05-02 00:00:00+00:00,0.032050733
1950-05-03 00:00:00+00:00,0.031830125
1950-05-04 00:00:00+00:00,0.031600084
1950-05-05 00:00:00+00:00,0.03126518
1950-05-06 00:00:00+00:00,0.03092345
1950-05-07 00:00:00+00:00,0.030660179
1950-05-08 00:00:00+00:00,0.030403787
1950-05-09 00:00:00+00:00,0.030094994
1950-05-10 00:00:00+00:00,0.029758658
1950-05-11 00:00:00+00:00,0.029471723
1950-05-12 00:00:00+00:00,0.029270237
1950-05-13 00:00:00+00:00,0.029142182
1950-05-14 00:00:00+00:00,0.029054355
1950-05-15 00:00:00+00:00,0.028983524
1950-05-16 00:00:00+00:00,0.028941978
1950-05-17 00:00:00+00:00,0.028912602
1950-05-18 00:00:00+00:00,0.02885103
1950-05-19 00:00:00+00:00,0.028771207
1950-05-20 00:00:00+00:00,0.028705193
1950-05-21 00:00:00+00:00,0.028668242
1950-05-22 00:00:00+00:00,0.02868389
1950-05-23 00:00:00+00:00,0.028692273
1950-05-24 00:00:00+00:00,0.028658532
1950-05-25 00:00:00+00:00,0.028595626
1950-05-26 00:00:00+00:00,0.028521884
1950-05-27 00:00:00+00:00,0.028477717
1950-05-28 00:00:00+00:00,0.028482853
1950-05-29 00:00:00+00:00,0.0284917
1950-05-30 00:00:00+00:00,0.028464293
1950-05-31 00:00:00+00:00,0.028403534
1950-06-01 00:00:00+00:00,0.028337773
1950-06-02 00:00:00+00:00,0.028279543
1950-06-03 00:00:00+00:00,0.028232586
1950-06-04 00:00:00+00:00,0.02819569
1950-06-05 00:00:00+00:00,0.028185224
1950-06-06 00:00:00+00:00,0.028185125
1950-06-07 00:00:00+00:00,0.028153237
1950-06-08 00:00:00+00:00,0.028100083
1950-06-09 00:00:00+00:00,0.02801746
1950-06-10 00:00:00+00:00,0.02789975
1950-06-11 00:00:00+00:00,0.027787846
1950-06-12 00:00:00+00:00,0.02769315
1950-06-13 00:00:00+00:00,0.027614353
1950-06-14 00:00:00+00:00,0.027544945
1950-06-15 00:00:00+00:00,0.027478019
1950-06-16 00:00:00+00:00,0.027416242
1950-06-17 00:00:00+00:00,0.027355278
1950-06-18 00:00:00+00:00,0.02729124
1950-06-19 00:00:00+00:00,0.027226271
1950-06-20 00:00:00+00:00,0.027165236
1950-06-21 00:00:00+00:00,0.027110457
1950-06-22 00:00:00+00:00,0.027062891
1950-06-23 00:00:00+00:00,0.027025329
1950-06-24 00:00:00+00:00,0.026996333
1950-06-25 00:00:00+00:00,0.026963783
1950-06-26 00:00:00+00:00,0.026924366
1950-06-27 00:00:00+00:00,0.026884394
1950-06-28 00:00:00+00:00,0.026845839
1950-06-29 00:00:00+00:00,0.026809903
1950-06-30 00:00:00+00:00,0.026777284
1950-07-01 00:00:00+00:00,0.02674888
1950-07-02 00:00:00+00:00,0.02672469
1950-07-03 00:00:00+00:00,0.026703103
1950-07-04 00:00:00+00:00,0.026683189
1950-07-05 00:00:00+00:00,0.026665265
1950-07-06 00:00:00+00:00,0.026650265
1950-07-07 00:00:00+00:00,0.026635744
1950-07-08 00:00:00+00:00,0.026620492
1950-07-09 00:00:00+00:00,0.026605846
1950-07-10 00:00:00+00:00,0.026591247
1950-07-11 00:00:00+00:00,0.026576972
1950-07-12 00:00:00+00:00,0.026562773
1950-07-13 00:00:00+00:00,0.026548855
1950-07-14 00:00:00+00:00,0.026535362
1950-07-15 00:00:00+00:00,0.026522305
1950-07-16 00:00:00+00:00,0.026509872
1950-07-17 00:00:00+00:00,0.026498131
1950-07-18 00:00:00+00:00,0.02648691
1950-07-19 00:00:00+00:00,0.026475929
1950-07-20 00:00:00+00:00,0.02646507
1950-07-21 00:00:00+00:00,0.026454348
1950-07-22 00:00:00+00:00,0.026443891
1950-07-23 00:00:00+00:00,0.026433893
1950-07-24 00:00:00+00:00,0.026424566
1950-07-25 00:00:00+00:00,0.026415158
1950-07-26 00:00:00+00:00,0.02640534
1950-07-27 00:00:00+00:00,0.026395692
1950-07-28 00:00:00+00:00,0.02638625
1950-07-29 00:00:00+00:00,0.026377019
1950-07-30 00:00:00+00:00,0.026367908
1950-07-31 00:00:00+00:00,0.02635892
1950-08-01 00:00:00+00:00,0.026349993
1950-08-02 00:00:00+00:00,0.026341004
1950-08-03 00:00:00+00:00,0.026332024
1950-08-04 00:00:00+00:00,0.026323188
1950-08-05 00:00:00+00:00,0.026314497
1950-08-06 00:00:00+00:00,0.026305906
1950-08-07 00:00:00+00:00,0.026297336
1950-08-08 00:00:00+00:00,0.026288727
1950-08-09 00:00:00+00:00,0.026280077
1950-08-10 00:00:00+00:00,0.02627148
1950-08-11 00:00:00+00:00,0.026263027
1950-08-12 00:00:00+00:00,0.02625467
1950-08-13 00:00:00+00:00,0.026246341
1950-08-14 00:00:00+00:00,0.02623799
1950-08-15 00:00:00+00:00,0.026229613
1950-08-16 00:00:00+00:00,0.026221223
1950-08-17 00:00:00+00:00,0.026212828
1950-08-18 00:00:00+00:00,0.02620445
1950-08-19 00:00:00+00:00,0.026196118
1950-08-20 00:00:00+00:00,0.026187858
1950-08-21 00:00:00+00:00,0.026179671
1950-08-22 00:00:00+00:00,0.02617155
1950-08-23 00:00:00+00:00,0.026163468
1950-08-24 00:00:00+00:00,0.026155401
1950-08-25 00:00:00+00:00,0.026147353
1950-08-26 00:00:00+00:00,0.026139325
1950-08-27 00:00:00+00:00,0.026131313
1950-08-28 00:00:00+00:00,0.026123311
1950-08-29 00:00:00+00:00,0.026115334
1950-08-30 00:00:00+00:00,0.026107373
1950-08-31 00:00:00+00:00,0.026099423
1950-09-01 00:00:00+00:00,0.026091494
1950-09-02 00:00:00+00:00,0.026083589
1950-09-03 00:00:00+00:00,0.026075691
1950-09-04 00:00:00+00:00,0.026067816
1950-09-05 00:00:00+00:00,0.026059963
1950-09-06 00:00:00+00:00,0.026052142
1950-09-07 00:00:00+00:00,0.026044331
1950-09-08 00:00:00+00:00,0.026036533
1950-09-09 00:00:00+00:00,0.026028743
1950-09-10 00:00:00+00:00,0.026020963
1950-09-11 00:00:00+00:00,0.026013188
1950-09-12 00:00:00+00:00,0.026005425
1950-09-13 00:00:00+00:00,0.02599767
1950-09-14 00:00:00+00:00,0.025989924
1950-09-15 00:00:00+00:00,0.025982182
1950-09-16 00:00:00+00:00,0.02597445
1950-09-17 00:00:00+00:00,0.02596672
1950-09-18 00:00:00+00:00,0.025959007
1950-09-19 00:00:00+00:00,0.025951292
1950-09-20 00:00:00+00:00,0.025943587
1950-09-21 00:00:00+00:00,0.025935883
