time,soilmoist1_day_livneh_vic
1950-05-05 00:00:00+00:00,5.8288093
1950-05-06 00:00:00+00:00,5.7856674
1950-05-07 00:00:00+00:00,5.7505097
1950-05-08 00:00:00+00:00,5.715545
1950-05-09 00:00:00+00:00,5.6786437
1950-05-10 00:00:00+00:00,5.642043
1950-05-11 00:00:00+00:00,5.608533
1950-05-12 00:00:00+00:00,5.58008
1950-05-13 00:00:00+00:00,5.556463
1950-05-14 00:00:00+00:00,5.5346828
1950-05-15 00:00:00+00:00,5.5146275
1950-05-16 00:00:00+00:00,5.5209
1950-05-17 00:00:00+00:00,5.519538
1950-05-18 00:00:00+00:00,5.502121
1950-05-19 00:00:00+00:00,5.485043
1950-05-20 00:00:00+00:00,5.467147
1950-05-21 00:00:00+00:00,5.4501863
1950-05-22 00:00:00+00:00,5.4396577
1950-05-23 00:00:00+00:00,5.432868
1950-05-24 00:00:00+00:00,5.4236636
1950-05-25 00:00:00+00:00,5.4133725
1950-05-26 00:00:00+00:00,5.402331
1950-05-27 00:00:00+00:00,5.392524
1950-05-28 00:00:00+00:00,5.383442
1950-05-29 00:00:00+00:00,5.374725
1950-05-30 00:00:00+00:00,5.366559
1950-05-31 00:00:00+00:00,5.3594346
1950-06-01 00:00:00+00:00,5.3530593
1950-06-02 00:00:00+00:00,5.347725
1950-06-03 00:00:00+00:00,5.342871
1950-06-04 00:00:00+00:00,5.3381
1950-06-05 00:00:00+00:00,5.334913
1950-06-06 00:00:00+00:00,5.335168
1950-06-07 00:00:00+00:00,5.335657
1950-06-08 00:00:00+00:00,5.3327923
1950-06-09 00:00:00+00:00,5.329357
1950-06-10 00:00:00+00:00,5.3266134
1950-06-11 00:00:00+00:00,5.3245173
1950-06-12 00:00:00+00:00,5.3225985
1950-06-13 00:00:00+00:00,5.321123
1950-06-14 00:00:00+00:00,5.319675
1950-06-15 00:00:00+00:00,5.318345
1950-06-16 00:00:00+00:00,5.3171067
1950-06-17 00:00:00+00:00,5.31576
1950-06-18 00:00:00+00:00,5.3143764
1950-06-19 00:00:00+00:00,5.3129478
1950-06-20 00:00:00+00:00,5.311614
1950-06-21 00:00:00+00:00,5.310433
1950-06-22 00:00:00+00:00,5.309424
1950-06-23 00:00:00+00:00,5.3087344
1950-06-24 00:00:00+00:00,5.3081546
1950-06-25 00:00:00+00:00,5.307266
1950-06-26 00:00:00+00:00,5.3063216
1950-06-27 00:00:00+00:00,5.3053627
1950-06-28 00:00:00+00:00,5.304415
1950-06-29 00:00:00+00:00,5.303543
1950-06-30 00:00:00+00:00,5.302817
1950-07-01 00:00:00+00:00,5.302173
1950-07-02 00:00:00+00:00,5.3015814
1950-07-03 00:00:00+00:00,5.3060517
1950-07-04 00:00:00+00:00,5.316027
1950-07-05 00:00:00+00:00,5.993353
1950-07-06 00:00:00+00:00,6.991855
1950-07-07 00:00:00+00:00,8.017256
1950-07-08 00:00:00+00:00,8.100478
1950-07-09 00:00:00+00:00,7.7033978
1950-07-10 00:00:00+00:00,7.312356
1950-07-11 00:00:00+00:00,6.980606
1950-07-12 00:00:00+00:00,6.730042
1950-07-13 00:00:00+00:00,6.5168486
1950-07-14 00:00:00+00:00,6.335879
1950-07-15 00:00:00+00:00,6.183652
1950-07-16 00:00:00+00:00,6.060046
1950-07-17 00:00:00+00:00,5.9533634
1950-07-18 00:00:00+00:00,5.8590746
1950-07-19 00:00:00+00:00,5.779538
1950-07-20 00:00:00+00:00,5.716668
1950-07-21 00:00:00+00:00,5.7970386
1950-07-22 00:00:00+00:00,5.94187
1950-07-23 00:00:00+00:00,6.1983886
1950-07-24 00:00:00+00:00,6.217775
1950-07-25 00:00:00+00:00,6.2249594
1950-07-26 00:00:00+00:00,6.1803274
1950-07-27 00:00:00+00:00,6.252518
1950-07-28 00:00:00+00:00,6.117414
1950-07-29 00:00:00+00:00,5.9922457
1950-07-30 00:00:00+00:00,5.8969827
1950-07-31 00:00:00+00:00,6.602216
1950-08-01 00:00:00+00:00,6.567874
1950-08-02 00:00:00+00:00,6.383954
1950-08-03 00:00:00+00:00,6.229856
1950-08-04 00:00:00+00:00,6.0962887
1950-08-05 00:00:00+00:00,5.977001
1950-08-06 00:00:00+00:00,5.876857
1950-08-07 00:00:00+00:00,5.7919903
1950-08-08 00:00:00+00:00,5.7210464
1950-08-09 00:00:00+00:00,5.6615696
1950-08-10 00:00:00+00:00,5.7226806
1950-08-11 00:00:00+00:00,5.6694074
1950-08-12 00:00:00+00:00,5.61601
1950-08-13 00:00:00+00:00,5.5687504
1950-08-14 00:00:00+00:00,5.5286527
1950-08-15 00:00:00+00:00,5.495916
1950-08-16 00:00:00+00:00,5.469744
1950-08-17 00:00:00+00:00,5.4479227
1950-08-18 00:00:00+00:00,5.4284973
1950-08-19 00:00:00+00:00,5.411401
1950-08-20 00:00:00+00:00,5.7416935
1950-08-21 00:00:00+00:00,5.7696404
1950-08-22 00:00:00+00:00,5.700869
1950-08-23 00:00:00+00:00,5.6396685
1950-08-24 00:00:00+00:00,5.5904865
1950-08-25 00:00:00+00:00,5.5488067
1950-08-26 00:00:00+00:00,5.512413
1950-08-27 00:00:00+00:00,5.4819684
1950-08-28 00:00:00+00:00,5.4545765
1950-08-29 00:00:00+00:00,5.4299183
1950-08-30 00:00:00+00:00,5.4079833
1950-08-31 00:00:00+00:00,5.392446
1950-09-01 00:00:00+00:00,5.393806
1950-09-02 00:00:00+00:00,5.388762
1950-09-03 00:00:00+00:00,5.380361
1950-09-04 00:00:00+00:00,5.3684993
1950-09-05 00:00:00+00:00,6.099341
1950-09-06 00:00:00+00:00,7.3528686
1950-09-07 00:00:00+00:00,9.086892
1950-09-08 00:00:00+00:00,8.732408
1950-09-09 00:00:00+00:00,8.289881
1950-09-10 00:00:00+00:00,7.892064
1950-09-11 00:00:00+00:00,7.546219
1950-09-12 00:00:00+00:00,7.2507114
1950-09-13 00:00:00+00:00,6.9866347
1950-09-14 00:00:00+00:00,6.754559
1950-09-15 00:00:00+00:00,6.55036
1950-09-16 00:00:00+00:00,6.3830023
1950-09-17 00:00:00+00:00,6.2502804
1950-09-18 00:00:00+00:00,6.1277413
1950-09-19 00:00:00+00:00,6.0188274
1950-09-20 00:00:00+00:00,5.918358
1950-09-21 00:00:00+00:00,5.827429
1950-09-22 00:00:00+00:00,5.7512016
1950-09-23 00:00:00+00:00,5.6821795
1950-09-24 00:00:00+00:00,5.6220684
1950-09-25 00:00:00+00:00,5.5727463
1950-09-26 00:00:00+00:00,5.5310645
1950-09-27 00:00:00+00:00,5.4961567
1950-09-28 00:00:00+00:00,5.466572
1950-09-29 00:00:00+00:00,5.442524
1950-09-30 00:00:00+00:00,5.423731
1950-10-01 00:00:00+00:00,5.409816
1950-10-02 00:00:00+00:00,5.396768
1950-10-03 00:00:00+00:00,5.384451
1950-10-04 00:00:00+00:00,5.373016
1950-10-05 00:00:00+00:00,5.363179
1950-10-06 00:00:00+00:00,5.3557043
1950-10-07 00:00:00+00:00,5.348702
1950-10-08 00:00:00+00:00,5.342108
1950-10-09 00:00:00+00:00,5.3368855
1950-10-10 00:00:00+00:00,5.3319683
1950-10-11 00:00:00+00:00,5.3270965
1950-10-12 00:00:00+00:00,5.3228073
1950-10-13 00:00:00+00:00,5.3192115
1950-10-14 00:00:00+00:00,5.316435
1950-10-15 00:00:00+00:00,5.314396
1950-10-16 00:00:00+00:00,5.312817
1950-10-17 00:00:00+00:00,5.3114758
1950-10-18 00:00:00+00:00,5.310235
1950-10-19 00:00:00+00:00,5.3091183
1950-10-20 00:00:00+00:00,5.308249
1950-10-21 00:00:00+00:00,5.307625
1950-10-22 00:00:00+00:00,5.3069777
1950-10-23 00:00:00+00:00,5.317888
1950-10-24 00:00:00+00:00,5.319559
1950-10-25 00:00:00+00:00,5.317733
1950-10-26 00:00:00+00:00,5.400142
1950-10-27 00:00:00+00:00,5.508651
1950-10-28 00:00:00+00:00,5.492038
1950-10-29 00:00:00+00:00,5.475999
1950-10-30 00:00:00+00:00,5.4889402
1950-10-31 00:00:00+00:00,5.4781156
1950-11-01 00:00:00+00:00,5.473004
1950-11-02 00:00:00+00:00,5.4606543
1950-11-03 00:00:00+00:00,5.449314
1950-11-04 00:00:00+00:00,5.4384956
1950-11-05 00:00:00+00:00,5.428706
1950-11-06 00:00:00+00:00,5.4197903
1950-11-07 00:00:00+00:00,5.411091
1950-11-08 00:00:00+00:00,5.402657
1950-11-09 00:00:00+00:00,5.3959064
1950-11-10 00:00:00+00:00,5.3913407
1950-11-11 00:00:00+00:00,5.3869963
1950-11-12 00:00:00+00:00,5.520255
1950-11-13 00:00:00+00:00,6.8046155
1950-11-14 00:00:00+00:00,7.535429
1950-11-15 00:00:00+00:00,7.3941646
1950-11-16 00:00:00+00:00,7.294102
1950-11-17 00:00:00+00:00,7.2337403
1950-11-18 00:00:00+00:00,7.3141847
1950-11-19 00:00:00+00:00,7.5034137
1950-11-20 00:00:00+00:00,7.2908707
1950-11-21 00:00:00+00:00,7.123843
1950-11-22 00:00:00+00:00,7.0022583
1950-11-23 00:00:00+00:00,6.898996
1950-11-24 00:00:00+00:00,6.8008056
1950-11-25 00:00:00+00:00,6.7058253
1950-11-26 00:00:00+00:00,6.628319
1950-11-27 00:00:00+00:00,6.5587616
1950-11-28 00:00:00+00:00,6.491798
1950-11-29 00:00:00+00:00,6.432382
1950-11-30 00:00:00+00:00,6.378747
1950-12-01 00:00:00+00:00,6.3403053
1950-12-02 00:00:00+00:00,6.3121223
1950-12-03 00:00:00+00:00,6.2906437
1950-12-04 00:00:00+00:00,6.267557
1950-12-05 00:00:00+00:00,6.2355475
1950-12-06 00:00:00+00:00,6.2035546
1950-12-07 00:00:00+00:00,6.171289
1950-12-08 00:00:00+00:00,6.1362405
1950-12-09 00:00:00+00:00,6.0983915
1950-12-10 00:00:00+00:00,6.062188
1950-12-11 00:00:00+00:00,6.029123
1950-12-12 00:00:00+00:00,5.997584
1950-12-13 00:00:00+00:00,5.966758
1950-12-14 00:00:00+00:00,5.943834
1950-12-15 00:00:00+00:00,5.923292
1950-12-16 00:00:00+00:00,5.8972063
1950-12-17 00:00:00+00:00,5.8741198
1950-12-18 00:00:00+00:00,5.8522167
1950-12-19 00:00:00+00:00,5.832066
1950-12-20 00:00:00+00:00,5.810105
1950-12-21 00:00:00+00:00,5.789775
1950-12-22 00:00:00+00:00,5.769928
1950-12-23 00:00:00+00:00,5.749182
1950-12-24 00:00:00+00:00,5.729624
1950-12-25 00:00:00+00:00,5.7137866
1950-12-26 00:00:00+00:00,5.70137
1950-12-27 00:00:00+00:00,5.6897793
1950-12-28 00:00:00+00:00,5.6788034
1950-12-29 00:00:00+00:00,5.666743
1950-12-30 00:00:00+00:00,5.658004
1950-12-31 00:00:00+00:00,5.6821933
1951-01-01 00:00:00+00:00,5.6769648
1951-01-02 00:00:00+00:00,5.669628
1951-01-03 00:00:00+00:00,5.6616535
1951-01-04 00:00:00+00:00,5.659573
1951-01-05 00:00:00+00:00,5.6592865
1951-01-06 00:00:00+00:00,5.6507034
1951-01-07 00:00:00+00:00,5.6420717
1951-01-08 00:00:00+00:00,5.6339626
1951-01-09 00:00:00+00:00,5.673439
1951-01-10 00:00:00+00:00,6.265956
1951-01-11 00:00:00+00:00,9.20587
1951-01-12 00:00:00+00:00,10.521577
1951-01-13 00:00:00+00:00,10.431262
1951-01-14 00:00:00+00:00,10.351196
1951-01-15 00:00:00+00:00,10.247417
1951-01-16 00:00:00+00:00,10.173462
1951-01-17 00:00:00+00:00,10.031739
1951-01-18 00:00:00+00:00,9.999257
1951-01-19 00:00:00+00:00,10.041291
1951-01-20 00:00:00+00:00,9.729378
1951-01-21 00:00:00+00:00,9.551404
1951-01-22 00:00:00+00:00,9.366912
1951-01-23 00:00:00+00:00,9.204919
1951-01-24 00:00:00+00:00,8.983175
1951-01-25 00:00:00+00:00,8.766456
1951-01-26 00:00:00+00:00,8.570797
1951-01-27 00:00:00+00:00,8.396769
1951-01-28 00:00:00+00:00,8.964708
1951-01-29 00:00:00+00:00,11.54978
1951-01-30 00:00:00+00:00,11.936578
1951-01-31 00:00:00+00:00,11.609308
1951-02-01 00:00:00+00:00,11.368604
1951-02-02 00:00:00+00:00,11.168601
1951-02-03 00:00:00+00:00,10.946004
1951-02-04 00:00:00+00:00,10.672375
1951-02-05 00:00:00+00:00,10.403051
1951-02-06 00:00:00+00:00,10.139786
1951-02-07 00:00:00+00:00,9.837572
1951-02-08 00:00:00+00:00,9.540078
1951-02-09 00:00:00+00:00,9.263767
1951-02-10 00:00:00+00:00,8.997199
1951-02-11 00:00:00+00:00,8.838759
1951-02-12 00:00:00+00:00,8.822167
1951-02-13 00:00:00+00:00,8.6419
1951-02-14 00:00:00+00:00,8.461367
1951-02-15 00:00:00+00:00,8.305631
1951-02-16 00:00:00+00:00,8.165347
1951-02-17 00:00:00+00:00,8.03437
1951-02-18 00:00:00+00:00,7.9056597
1951-02-19 00:00:00+00:00,7.7908955
1951-02-20 00:00:00+00:00,7.6818547
1951-02-21 00:00:00+00:00,7.5916543
1951-02-22 00:00:00+00:00,7.6373973
1951-02-23 00:00:00+00:00,7.646944
1951-02-24 00:00:00+00:00,7.5992904
1951-02-25 00:00:00+00:00,7.549166
1951-02-26 00:00:00+00:00,7.6623955
1951-02-27 00:00:00+00:00,8.238152
1951-02-28 00:00:00+00:00,8.140096
1951-03-01 00:00:00+00:00,8.499994
1951-03-02 00:00:00+00:00,8.470728
1951-03-03 00:00:00+00:00,8.30654
1951-03-04 00:00:00+00:00,8.277701
1951-03-05 00:00:00+00:00,8.133291
1951-03-06 00:00:00+00:00,7.9952044
1951-03-07 00:00:00+00:00,7.860509
1951-03-08 00:00:00+00:00,7.709169
1951-03-09 00:00:00+00:00,7.560721
1951-03-10 00:00:00+00:00,7.4306173
1951-03-11 00:00:00+00:00,7.3135033
1951-03-12 00:00:00+00:00,7.1966667
1951-03-13 00:00:00+00:00,7.0695543
1951-03-14 00:00:00+00:00,6.9385085
1951-03-15 00:00:00+00:00,6.8157053
1951-03-16 00:00:00+00:00,6.703209
1951-03-17 00:00:00+00:00,6.613525
1951-03-18 00:00:00+00:00,6.5428095
1951-03-19 00:00:00+00:00,6.46937
1951-03-20 00:00:00+00:00,6.3878393
1951-03-21 00:00:00+00:00,6.306374
