time,rainfall_day_livneh_vic
1950-05-07 00:00:00+00:00,0.0
1950-05-08 00:00:00+00:00,0.0
1950-05-09 00:00:00+00:00,0.0
1950-05-10 00:00:00+00:00,0.0
1950-05-11 00:00:00+00:00,0.0
1950-05-12 00:00:00+00:00,0.0
1950-05-13 00:00:00+00:00,8.954155e-05
1950-05-14 00:00:00+00:00,0.00044770775
1950-05-15 00:00:00+00:00,0.00078409654
1950-05-16 00:00:00+00:00,0.045696415
1950-05-17 00:00:00+00:00,0.04682177
1950-05-18 00:00:00+00:00,0.00030444126
1950-05-19 00:00:00+00:00,0.0
1950-05-20 00:00:00+00:00,0.0
1950-05-21 00:00:00+00:00,0.0
1950-05-22 00:00:00+00:00,0.0030744048
1950-05-23 00:00:00+00:00,0.011395784
1950-05-24 00:00:00+00:00,0.0
1950-05-25 00:00:00+00:00,0.0016117479
1950-05-26 00:00:00+00:00,0.008166188
1950-05-27 00:00:00+00:00,0.0128223505
1950-05-28 00:00:00+00:00,0.0
1950-05-29 00:00:00+00:00,0.0
1950-05-30 00:00:00+00:00,0.0
1950-05-31 00:00:00+00:00,0.0
1950-06-01 00:00:00+00:00,0.00012535817
1950-06-02 00:00:00+00:00,0.0006805158
1950-06-03 00:00:00+00:00,0.0
1950-06-04 00:00:00+00:00,0.0
1950-06-05 00:00:00+00:00,0.0032592067
1950-06-06 00:00:00+00:00,0.017186832
1950-06-07 00:00:00+00:00,0.01844963
1950-06-08 00:00:00+00:00,0.0
1950-06-09 00:00:00+00:00,0.0
1950-06-10 00:00:00+00:00,0.0
1950-06-11 00:00:00+00:00,0.0
1950-06-12 00:00:00+00:00,0.0
1950-06-13 00:00:00+00:00,0.0
1950-06-14 00:00:00+00:00,0.0
1950-06-15 00:00:00+00:00,0.0
1950-06-16 00:00:00+00:00,0.0
1950-06-17 00:00:00+00:00,0.0
1950-06-18 00:00:00+00:00,0.0
1950-06-19 00:00:00+00:00,0.0
1950-06-20 00:00:00+00:00,0.0
1950-06-21 00:00:00+00:00,0.0
