time,soilmoist1_month_CanESM2_rcp85
2016-05-31 00:00:00+00:00,5.531605
2016-06-30 00:00:00+00:00,5.439751
2016-07-31 00:00:00+00:00,5.481646
2016-08-31 00:00:00+00:00,7.7954893
2016-09-30 00:00:00+00:00,7.0595613
2016-10-31 00:00:00+00:00,6.704885
2016-11-30 00:00:00+00:00,14.8256035
2016-12-31 00:00:00+00:00,15.253002
2017-01-31 00:00:00+00:00,17.19039
2017-02-28 00:00:00+00:00,11.87535
2017-03-31 00:00:00+00:00,14.934876
2017-04-30 00:00:00+00:00,8.315082
2017-05-31 00:00:00+00:00,5.459853
2017-06-30 00:00:00+00:00,5.420831
2017-07-31 00:00:00+00:00,5.541294
2017-08-31 00:00:00+00:00,7.7341127
2017-09-30 00:00:00+00:00,6.162017
2017-10-31 00:00:00+00:00,5.495106
2017-11-30 00:00:00+00:00,6.9453893
2017-12-31 00:00:00+00:00,9.004211
2018-01-31 00:00:00+00:00,11.471513
2018-02-28 00:00:00+00:00,11.047487
2018-03-31 00:00:00+00:00,10.151134
2018-04-30 00:00:00+00:00,8.48802
2018-05-31 00:00:00+00:00,5.853675
2018-06-30 00:00:00+00:00,5.893381
2018-07-31 00:00:00+00:00,5.326916
2018-08-31 00:00:00+00:00,9.24751
2018-09-30 00:00:00+00:00,8.074606
2018-10-31 00:00:00+00:00,5.3936906
2018-11-30 00:00:00+00:00,5.5496397
2018-12-31 00:00:00+00:00,5.495845
2019-01-31 00:00:00+00:00,11.003709
2019-02-28 00:00:00+00:00,12.84673
2019-03-31 00:00:00+00:00,6.872304
2019-04-30 00:00:00+00:00,5.810699
2019-05-31 00:00:00+00:00,5.4571195
2019-06-30 00:00:00+00:00,5.350529
2019-07-31 00:00:00+00:00,8.098463
2019-08-31 00:00:00+00:00,5.5859237
2019-09-30 00:00:00+00:00,5.429952
2019-10-31 00:00:00+00:00,5.5605664
2019-11-30 00:00:00+00:00,5.9640465
2019-12-31 00:00:00+00:00,9.005239
2020-01-31 00:00:00+00:00,11.993239
2020-02-29 00:00:00+00:00,13.18866
2020-03-31 00:00:00+00:00,11.455302
2020-04-30 00:00:00+00:00,5.9421983
2020-05-31 00:00:00+00:00,5.988993
2020-06-30 00:00:00+00:00,5.329169
2020-07-31 00:00:00+00:00,6.5577717
2020-08-31 00:00:00+00:00,6.5036054
2020-09-30 00:00:00+00:00,5.9298925
2020-10-31 00:00:00+00:00,5.6643095
2020-11-30 00:00:00+00:00,8.5245905
