time,soilmoist1_month_MIROC5_rcp85
2016-05-31 00:00:00+00:00,5.575632
2016-06-30 00:00:00+00:00,5.364134
2016-07-31 00:00:00+00:00,7.464165
2016-08-31 00:00:00+00:00,7.4405107
2016-09-30 00:00:00+00:00,5.9744763
2016-10-31 00:00:00+00:00,5.613617
2016-11-30 00:00:00+00:00,10.612939
2016-12-31 00:00:00+00:00,9.035191
2017-01-31 00:00:00+00:00,8.558595
2017-02-28 00:00:00+00:00,6.823883
2017-03-31 00:00:00+00:00,10.264814
2017-04-30 00:00:00+00:00,11.3247
2017-05-31 00:00:00+00:00,7.8111625
2017-06-30 00:00:00+00:00,5.820447
2017-07-31 00:00:00+00:00,5.9959316
2017-08-31 00:00:00+00:00,8.629789
2017-09-30 00:00:00+00:00,5.6194005
2017-10-31 00:00:00+00:00,6.6035967
2017-11-30 00:00:00+00:00,7.455084
2017-12-31 00:00:00+00:00,7.64127
2018-01-31 00:00:00+00:00,7.232573
2018-02-28 00:00:00+00:00,9.94811
2018-03-31 00:00:00+00:00,12.415901
2018-04-30 00:00:00+00:00,7.499459
2018-05-31 00:00:00+00:00,7.7289414
2018-06-30 00:00:00+00:00,5.735804
2018-07-31 00:00:00+00:00,7.0186157
2018-08-31 00:00:00+00:00,6.2849
2018-09-30 00:00:00+00:00,7.6102033
2018-10-31 00:00:00+00:00,5.595851
2018-11-30 00:00:00+00:00,5.378249
2018-12-31 00:00:00+00:00,5.8099327
2019-01-31 00:00:00+00:00,12.804083
2019-02-28 00:00:00+00:00,16.445677
2019-03-31 00:00:00+00:00,15.867565
2019-04-30 00:00:00+00:00,12.903721
2019-05-31 00:00:00+00:00,6.7712407
2019-06-30 00:00:00+00:00,6.1905375
2019-07-31 00:00:00+00:00,6.13034
2019-08-31 00:00:00+00:00,7.845797
2019-09-30 00:00:00+00:00,5.7553263
2019-10-31 00:00:00+00:00,6.855515
2019-11-30 00:00:00+00:00,8.058165
2019-12-31 00:00:00+00:00,7.9164257
2020-01-31 00:00:00+00:00,8.884754
2020-02-29 00:00:00+00:00,6.9168525
2020-03-31 00:00:00+00:00,11.409345
2020-04-30 00:00:00+00:00,6.4620905
2020-05-31 00:00:00+00:00,5.375735
2020-06-30 00:00:00+00:00,5.3910804
