time,soilmoist1_month_HadGEM2-ES_rcp45
2016-05-31 00:00:00+00:00,6.021896
2016-06-30 00:00:00+00:00,5.53143
2016-07-31 00:00:00+00:00,5.640853
2016-08-31 00:00:00+00:00,5.453821
2016-09-30 00:00:00+00:00,5.4766684
2016-10-31 00:00:00+00:00,6.4844704
2016-11-30 00:00:00+00:00,6.1332483
2016-12-31 00:00:00+00:00,10.205429
2017-01-31 00:00:00+00:00,12.415605
2017-02-28 00:00:00+00:00,17.01261
2017-03-31 00:00:00+00:00,18.048204
2017-04-30 00:00:00+00:00,9.339676
2017-05-31 00:00:00+00:00,5.8233037
2017-06-30 00:00:00+00:00,5.646789
2017-07-31 00:00:00+00:00,5.3676815
2017-08-31 00:00:00+00:00,6.0140324
2017-09-30 00:00:00+00:00,5.6474833
2017-10-31 00:00:00+00:00,10.567422
2017-11-30 00:00:00+00:00,8.206917
2017-12-31 00:00:00+00:00,9.31214
2018-01-31 00:00:00+00:00,15.129036
2018-02-28 00:00:00+00:00,18.15304
2018-03-31 00:00:00+00:00,11.2016
2018-04-30 00:00:00+00:00,8.80581
2018-05-31 00:00:00+00:00,5.51248
2018-06-30 00:00:00+00:00,5.355497
2018-07-31 00:00:00+00:00,5.4227247
2018-08-31 00:00:00+00:00,5.8881626
2018-09-30 00:00:00+00:00,8.50889
2018-10-31 00:00:00+00:00,7.026812
2018-11-30 00:00:00+00:00,14.682616
2018-12-31 00:00:00+00:00,17.785137
2019-01-31 00:00:00+00:00,13.757895
2019-02-28 00:00:00+00:00,18.524052
2019-03-31 00:00:00+00:00,14.5073
2019-04-30 00:00:00+00:00,10.189225
2019-05-31 00:00:00+00:00,5.5282407
2019-06-30 00:00:00+00:00,5.383303
2019-07-31 00:00:00+00:00,5.7891526
2019-08-31 00:00:00+00:00,5.7698097
2019-09-30 00:00:00+00:00,5.9743037
2019-10-31 00:00:00+00:00,5.4917364
2019-11-30 00:00:00+00:00,10.588931
2019-12-31 00:00:00+00:00,16.797747
2020-01-31 00:00:00+00:00,11.248547
2020-02-29 00:00:00+00:00,7.7327285
2020-03-31 00:00:00+00:00,8.693985
2020-04-30 00:00:00+00:00,6.839356
2020-05-31 00:00:00+00:00,5.3820243
2020-06-30 00:00:00+00:00,5.611977
2020-07-31 00:00:00+00:00,6.3312507
2020-08-31 00:00:00+00:00,5.6505775
2020-09-30 00:00:00+00:00,5.479438
2020-10-31 00:00:00+00:00,5.3897963
2020-11-30 00:00:00+00:00,8.082327
2020-12-31 00:00:00+00:00,10.857235
2021-01-31 00:00:00+00:00,11.579943
2021-02-28 00:00:00+00:00,10.691693
2021-03-31 00:00:00+00:00,5.998354
2021-04-30 00:00:00+00:00,5.360499
2021-05-31 00:00:00+00:00,5.510055
2021-06-30 00:00:00+00:00,5.32595
2021-07-31 00:00:00+00:00,5.595845
2021-08-31 00:00:00+00:00,5.5363617
2021-09-30 00:00:00+00:00,5.487322
