time,tair_month_HadGEM2-ES_rcp45
2016-07-31 00:00:00+00:00,30.945036
2016-08-31 00:00:00+00:00,32.437412
2016-09-30 00:00:00+00:00,26.018871
2016-10-31 00:00:00+00:00,21.644787
2016-11-30 00:00:00+00:00,15.846954
2016-12-31 00:00:00+00:00,10.111888
2017-01-31 00:00:00+00:00,9.244265
2017-02-28 00:00:00+00:00,11.648176
2017-03-31 00:00:00+00:00,12.966976
2017-04-30 00:00:00+00:00,17.574997
2017-05-31 00:00:00+00:00,20.87933
2017-06-30 00:00:00+00:00,28.603308
2017-07-31 00:00:00+00:00,29.08164
2017-08-31 00:00:00+00:00,30.92634
2017-09-30 00:00:00+00:00,28.443342
2017-10-31 00:00:00+00:00,19.237495
2017-11-30 00:00:00+00:00,12.387426
2017-12-31 00:00:00+00:00,10.807246
2018-01-31 00:00:00+00:00,7.117655
2018-02-28 00:00:00+00:00,11.150974
2018-03-31 00:00:00+00:00,13.841543
2018-04-30 00:00:00+00:00,17.164154
2018-05-31 00:00:00+00:00,25.220118
2018-06-30 00:00:00+00:00,26.88333
2018-07-31 00:00:00+00:00,31.597416
2018-08-31 00:00:00+00:00,29.389132
2018-09-30 00:00:00+00:00,24.553772
2018-10-31 00:00:00+00:00,21.617891
2018-11-30 00:00:00+00:00,13.240477
2018-12-31 00:00:00+00:00,8.561039
2019-01-31 00:00:00+00:00,10.145101
2019-02-28 00:00:00+00:00,11.650498
2019-03-31 00:00:00+00:00,12.66986
2019-04-30 00:00:00+00:00,16.848934
2019-05-31 00:00:00+00:00,24.376247
2019-06-30 00:00:00+00:00,27.169127
2019-07-31 00:00:00+00:00,30.68445
2019-08-31 00:00:00+00:00,30.17468
2019-09-30 00:00:00+00:00,26.426954
2019-10-31 00:00:00+00:00,24.27956
2019-11-30 00:00:00+00:00,12.629724
2019-12-31 00:00:00+00:00,8.426515
2020-01-31 00:00:00+00:00,9.935952
2020-02-29 00:00:00+00:00,14.492238
2020-03-31 00:00:00+00:00,11.521682
2020-04-30 00:00:00+00:00,19.629288
2020-05-31 00:00:00+00:00,21.093071
2020-06-30 00:00:00+00:00,28.810265
2020-07-31 00:00:00+00:00,29.881363
2020-08-31 00:00:00+00:00,29.562525
2020-09-30 00:00:00+00:00,27.091585
2020-10-31 00:00:00+00:00,22.559963
2020-11-30 00:00:00+00:00,12.47789
2020-12-31 00:00:00+00:00,9.334194
2021-01-31 00:00:00+00:00,7.9437776
2021-02-28 00:00:00+00:00,15.360045
2021-03-31 00:00:00+00:00,15.866508
2021-04-30 00:00:00+00:00,21.42895
2021-05-31 00:00:00+00:00,23.271399
2021-06-30 00:00:00+00:00,27.71525
2021-07-31 00:00:00+00:00,30.21509
2021-08-31 00:00:00+00:00,29.594093
2021-09-30 00:00:00+00:00,24.451527
2021-10-31 00:00:00+00:00,19.892513
2021-11-30 00:00:00+00:00,12.830912
2021-12-31 00:00:00+00:00,10.490144
2022-01-31 00:00:00+00:00,11.365595
2022-02-28 00:00:00+00:00,11.7339945
2022-03-31 00:00:00+00:00,10.85508
2022-04-30 00:00:00+00:00,20.678469
2022-05-31 00:00:00+00:00,21.713497
2022-06-30 00:00:00+00:00,27.613354
2022-07-31 00:00:00+00:00,30.667452
