time,runoff_month_MIROC5_rcp85
2015-10-31 00:00:00+00:00,0.0025805095
2015-11-30 00:00:00+00:00,0.00018082783
2015-12-31 00:00:00+00:00,0.00025398683
2016-01-31 00:00:00+00:00,0.00012126632
2016-02-29 00:00:00+00:00,0.0044858987
2016-03-31 00:00:00+00:00,0.04061413
2016-04-30 00:00:00+00:00,0.008227437
2016-05-31 00:00:00+00:00,0.00022614487
2016-06-30 00:00:00+00:00,0.00033591752
2016-07-31 00:00:00+00:00,0.006672053
2016-08-31 00:00:00+00:00,0.005136406
2016-09-30 00:00:00+00:00,0.0010369113
2016-10-31 00:00:00+00:00,0.0008110281
2016-11-30 00:00:00+00:00,0.018419605
2016-12-31 00:00:00+00:00,0.002975559
2017-01-31 00:00:00+00:00,0.001982327
2017-02-28 00:00:00+00:00,0.0017579354
2017-03-31 00:00:00+00:00,0.090799145
2017-04-30 00:00:00+00:00,0.02284063
2017-05-31 00:00:00+00:00,0.012551038
2017-06-30 00:00:00+00:00,0.002329735
2017-07-31 00:00:00+00:00,0.005029469
2017-08-31 00:00:00+00:00,0.0067301234
2017-09-30 00:00:00+00:00,0.00028175025
2017-10-31 00:00:00+00:00,0.0067535634
2017-11-30 00:00:00+00:00,0.001956309
2017-12-31 00:00:00+00:00,0.0054128882
2018-01-31 00:00:00+00:00,0.0014691345
2018-02-28 00:00:00+00:00,0.09335289
2018-03-31 00:00:00+00:00,0.04395357
2018-04-30 00:00:00+00:00,0.009567706
2018-05-31 00:00:00+00:00,0.011554043
2018-06-30 00:00:00+00:00,0.00018036045
2018-07-31 00:00:00+00:00,0.0066517247
2018-08-31 00:00:00+00:00,0.0009457844
2018-09-30 00:00:00+00:00,0.007001657
2018-10-31 00:00:00+00:00,0.0001862427
2018-11-30 00:00:00+00:00,0.00011504903
2018-12-31 00:00:00+00:00,0.0031274396
2019-01-31 00:00:00+00:00,0.027928365
2019-02-28 00:00:00+00:00,0.1262066
2019-03-31 00:00:00+00:00,0.057384163
2019-04-30 00:00:00+00:00,0.05268792
2019-05-31 00:00:00+00:00,0.011258135
2019-06-30 00:00:00+00:00,0.0037217669
2019-07-31 00:00:00+00:00,0.0068328907
2019-08-31 00:00:00+00:00,0.00565186
2019-09-30 00:00:00+00:00,0.0010597107
2019-10-31 00:00:00+00:00,0.0060566287
2019-11-30 00:00:00+00:00,0.0041451086
2019-12-31 00:00:00+00:00,0.0018378145
2020-01-31 00:00:00+00:00,0.003823401
2020-02-29 00:00:00+00:00,0.001733223
2020-03-31 00:00:00+00:00,0.045653366
2020-04-30 00:00:00+00:00,0.002577425
2020-05-31 00:00:00+00:00,4.4238102e-05
2020-06-30 00:00:00+00:00,0.0003963901
2020-07-31 00:00:00+00:00,0.007737534
2020-08-31 00:00:00+00:00,0.004408886
2020-09-30 00:00:00+00:00,0.0019526817
2020-10-31 00:00:00+00:00,2.3788803e-06
2020-11-30 00:00:00+00:00,0.0069992086
2020-12-31 00:00:00+00:00,0.043023348
2021-01-31 00:00:00+00:00,0.0057923677
2021-02-28 00:00:00+00:00,0.14438336
2021-03-31 00:00:00+00:00,0.011963622
2021-04-30 00:00:00+00:00,0.006585964
2021-05-31 00:00:00+00:00,0.008738103
2021-06-30 00:00:00+00:00,0.0016152274
2021-07-31 00:00:00+00:00,0.0016165446
2021-08-31 00:00:00+00:00,0.013659808
2021-09-30 00:00:00+00:00,0.006220737
2021-10-31 00:00:00+00:00,0.0010486832
2021-11-30 00:00:00+00:00,0.011398339
2021-12-31 00:00:00+00:00,0.011043592
2022-01-31 00:00:00+00:00,0.017638413
2022-02-28 00:00:00+00:00,0.0178469
2022-03-31 00:00:00+00:00,0.011055522
2022-04-30 00:00:00+00:00,0.00033143925
2022-05-31 00:00:00+00:00,0.001820267
2022-06-30 00:00:00+00:00,0.0002820937
2022-07-31 00:00:00+00:00,0.0025110864
2022-08-31 00:00:00+00:00,0.003101478
2022-09-30 00:00:00+00:00,0.00087342894
2022-10-31 00:00:00+00:00,9.677632e-05
2022-11-30 00:00:00+00:00,0.0058208467
2022-12-31 00:00:00+00:00,0.019489132
2023-01-31 00:00:00+00:00,0.37321344
2023-02-28 00:00:00+00:00,0.03888331
2023-03-31 00:00:00+00:00,0.05248665
2023-04-30 00:00:00+00:00,0.022908518
2023-05-31 00:00:00+00:00,0.0040644337
2023-06-30 00:00:00+00:00,0.004828958
2023-07-31 00:00:00+00:00,0.0030790458
2023-08-31 00:00:00+00:00,0.0050889296
2023-09-30 00:00:00+00:00,0.0017502268
2023-10-31 00:00:00+00:00,7.447873e-05
2023-11-30 00:00:00+00:00,0.0049205422
2023-12-31 00:00:00+00:00,0.17471533
2024-01-31 00:00:00+00:00,0.50238186
2024-02-29 00:00:00+00:00,0.43698633
2024-03-31 00:00:00+00:00,0.019592404
2024-04-30 00:00:00+00:00,0.02595344
2024-05-31 00:00:00+00:00,0.016327713
2024-06-30 00:00:00+00:00,0.014013533
2024-07-31 00:00:00+00:00,0.013176953
2024-08-31 00:00:00+00:00,0.0036607978
2024-09-30 00:00:00+00:00,0.0013340702
2024-10-31 00:00:00+00:00,0.001101866
2024-11-30 00:00:00+00:00,0.00087866647
2024-12-31 00:00:00+00:00,0.0006698292
2025-01-31 00:00:00+00:00,0.0011424469
2025-02-28 00:00:00+00:00,0.21416898
2025-03-31 00:00:00+00:00,0.018745126
2025-04-30 00:00:00+00:00,0.033570208
2025-05-31 00:00:00+00:00,0.003310011
2025-06-30 00:00:00+00:00,0.00022180419
2025-07-31 00:00:00+00:00,0.0012760432
2025-08-31 00:00:00+00:00,0.0045275455
2025-09-30 00:00:00+00:00,0.030464042
2025-10-31 00:00:00+00:00,0.008130885
2025-11-30 00:00:00+00:00,0.00025903614
2025-12-31 00:00:00+00:00,0.0012190272
2026-01-31 00:00:00+00:00,0.009665293
2026-02-28 00:00:00+00:00,0.0003601737
2026-03-31 00:00:00+00:00,0.01406197
2026-04-30 00:00:00+00:00,0.104148
2026-05-31 00:00:00+00:00,0.00027304635
2026-06-30 00:00:00+00:00,0.0004140084
2026-07-31 00:00:00+00:00,0.0013961864
2026-08-31 00:00:00+00:00,7.464304e-05
2026-09-30 00:00:00+00:00,0.0024056097
2026-10-31 00:00:00+00:00,0.019415773
2026-11-30 00:00:00+00:00,0.045188464
2026-12-31 00:00:00+00:00,0.015613925
2027-01-31 00:00:00+00:00,0.055900928
2027-02-28 00:00:00+00:00,0.005571058
2027-03-31 00:00:00+00:00,0.03506073
2027-04-30 00:00:00+00:00,0.0072237616
2027-05-31 00:00:00+00:00,0.007227087
2027-06-30 00:00:00+00:00,0.001530761
