time,runoff_month_CanESM2_rcp85
2015-11-30 00:00:00+00:00,0.006789836
2015-12-31 00:00:00+00:00,0.000830213
2016-01-31 00:00:00+00:00,0.14341503
2016-02-29 00:00:00+00:00,0.44500807
2016-03-31 00:00:00+00:00,0.24367088
2016-04-30 00:00:00+00:00,0.13269535
2016-05-31 00:00:00+00:00,0.021879207
2016-06-30 00:00:00+00:00,0.011061754
2016-07-31 00:00:00+00:00,0.005132132
2016-08-31 00:00:00+00:00,0.007750176
2016-09-30 00:00:00+00:00,0.007661373
2016-10-31 00:00:00+00:00,0.0003720318
2016-11-30 00:00:00+00:00,0.08516306
2016-12-31 00:00:00+00:00,0.014178393
2017-01-31 00:00:00+00:00,0.11452024
2017-02-28 00:00:00+00:00,0.010101847
2017-03-31 00:00:00+00:00,0.13232596
2017-04-30 00:00:00+00:00,0.011709856
2017-05-31 00:00:00+00:00,0.015367743
2017-06-30 00:00:00+00:00,0.0034703272
2017-07-31 00:00:00+00:00,0.0016960894
2017-08-31 00:00:00+00:00,0.012443567
2017-09-30 00:00:00+00:00,0.0017124312
2017-10-31 00:00:00+00:00,0.0004984292
2017-11-30 00:00:00+00:00,0.004260856
2017-12-31 00:00:00+00:00,0.026072292
2018-01-31 00:00:00+00:00,0.01507616
2018-02-28 00:00:00+00:00,0.015066384
2018-03-31 00:00:00+00:00,0.056230366
2018-04-30 00:00:00+00:00,0.0068859328
2018-05-31 00:00:00+00:00,0.0033637711
2018-06-30 00:00:00+00:00,0.0018724394
2018-07-31 00:00:00+00:00,0.00012041485
2018-08-31 00:00:00+00:00,0.046978932
2018-09-30 00:00:00+00:00,0.00068169634
2018-10-31 00:00:00+00:00,0.00012225323
2018-11-30 00:00:00+00:00,0.0004576911
2018-12-31 00:00:00+00:00,0.0002629323
2019-01-31 00:00:00+00:00,0.04428683
2019-02-28 00:00:00+00:00,0.010749731
2019-03-31 00:00:00+00:00,0.0007942341
2019-04-30 00:00:00+00:00,0.0020057755
2019-05-31 00:00:00+00:00,9.212169e-05
2019-06-30 00:00:00+00:00,0.00032112058
