boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1987,48.7160797119,53.8268127441,50.393283844,50.4813079834,50.8835220337,51.8351554871,50.3475494385
1988,49.601360321,54.1201477051,50.9075088501,50.8189201355,50.6367645264,51.5767593384,51.5922470093
1989,49.598613739,53.5580863953,51.0725517273,51.4763946533,51.1626281738,52.3366241455,51.3632354736
1990,49.0156784058,53.376373291,50.7675209045,51.6811828613,52.2161064148,51.9806671143,49.6305847168
1991,49.0522613525,53.7056884766,50.9319076538,52.9951477051,51.9324417114,51.7756652832,51.078086853
1992,48.6663131714,53.5136489868,52.3891830444,50.8194122314,53.5045852661,51.3766403198,52.1048126221
1993,49.352355957,53.669708252,50.4230575562,52.7723464966,50.9146652222,51.5352859497,50.2616386414
1994,49.6022949219,54.218421936,52.1794967651,50.8045806885,51.561378479,51.9592437744,51.4756851196
1995,48.7351455688,55.1268234253,52.9007568359,52.0587844849,52.3968315125,52.4146842957,50.4282989502
1996,49.5140190125,54.2580795288,53.7562255859,52.3139419556,53.3848876953,51.0713310242,51.1423034668
1997,49.4761734009,54.2005119324,53.2173309326,51.0139274597,52.2713127136,53.6289482117,52.5395431519
1998,48.9297103882,55.3367729187,50.7112998962,51.407787323,53.3563766479,53.2830963135,52.0688323975
1999,49.6375045776,53.5681381226,51.3388061523,52.0746574402,51.6116409302,51.7739639282,50.6940612793
2000,49.4411239624,54.6096420288,52.9477233887,52.3699150085,52.5024108887,50.9934387207,51.7105178833
2001,50.1536407471,53.8055534363,53.1143531799,51.7321014404,51.6367950439,51.7216644287,51.4734306335
2002,49.6923294067,53.4165802002,52.2225189209,52.8206863403,52.1579360962,51.897228241,52.0050048828
2003,49.9228744507,54.0044631958,52.9911575317,51.8065910339,50.0001068115,51.0847892761,52.1187133789
2004,50.1488647461,54.5858573914,51.8424530029,52.7925567627,50.7523956299,50.8199615479,52.2326965332
2005,50.2206039429,54.0687332153,52.5835456848,51.4399795532,52.6027145386,51.3656005859,51.9220581055
2006,50.6297912598,54.066204071,52.3410606384,51.0775375366,51.4245414734,51.8308181763,52.6700057983
2007,50.2100028992,54.8201408386,,52.2081413269,52.3287734985,52.0062675476,53.2794189453
2008,50.528717041,54.5888786316,,52.7799797058,51.8739395142,52.2001190186,51.9242019653
2009,50.8942871094,55.1888427734,,55.1888427734,53.6908569336,52.7273025513,52.1852874756
2010,50.3199768066,53.8973999023,,53.2863922119,53.7825927734,52.3832092285,53.0056381226
2011,49.700843811,54.0559310913,,53.2755203247,52.2850456238,52.6570968628,51.7850036621
2012,51.1127471924,54.9213790894,,54.4143066406,54.0692253113,53.3292961121,54.1350860596
2013,49.0971450806,54.5230178833,,53.3241882324,53.4431686401,53.2242660522,51.7879142761
2014,50.5691452026,55.8499450684,,53.5132064819,54.3177909851,53.7874259949,52.3106994629
2015,50.3606262207,55.3555603027,,55.1747817993,52.950050354,52.3637619019,51.4133377075
2016,50.6281433105,55.3370475769,,54.1775512695,53.9801254272,53.8061599731,52.4702758789
2017,51.3295097351,54.9598312378,,54.431060791,54.834148407,53.48387146,52.2951507568
2018,50.9014816284,55.8287963867,,52.9078063965,54.186504364,53.062877655,53.3380279541
2019,50.6084747314,54.9951553345,,54.7575187683,54.1783752441,53.0188217163,52.7346611023
2020,51.2870483398,55.4001617432,,54.2462692261,53.5929679871,54.7796020508,54.0808181763
2021,50.5460739136,55.1256713867,,54.7975082397,52.4898300171,52.4991149902,53.1591186523
2022,50.7504730225,55.8145675659,,55.277557373,54.0130844116,54.6372184753,52.1212921143
2023,51.2908935547,56.3321914673,,55.6840515137,54.3999710083,55.6310424805,52.35887146
2024,51.7890701294,56.1455841064,,55.8805389404,52.4893341064,55.0267944336,52.7157096863
2025,51.8692131042,56.1545410156,,55.2558059692,53.0166778564,54.8355789185,53.7631454468
