,date,airtemp,baseflow,ev,rainfall,runoff,sm,snowfall,snowwater
51,2029-04,20.95573,0.026373528,0.071559206,0.021012321,0.00024214413,5.4598722,0.00065553805,9.760452e-06
52,2029-05,20.680847,0.025988761,0.0654217,0.055562574,0.0006217691,5.503556,0.0010796709,0.00021870012
53,2029-06,27.902044,0.025720574,0.01860626,0.016254071,0.00013298441,5.338742,7.270998e-06,0.0
54,2029-07,31.060368,0.025485566,0.0026807834,0.0021218457,1.4718442e-05,5.301988,0.0,0.0
55,2029-08,32.565975,0.025265362,0.20674942,0.4200371,0.008765291,6.5055137,0.0,0.0
56,2029-09,25.776695,0.025172837,0.21810856,0.022087807,0.0002056226,6.653266,1.5225573e-05,0.0
57,2029-10,22.41502,0.024907462,0.15204114,0.19774538,0.00229112,6.0086074,0.0016705939,0.00026605057
58,2029-11,16.576742,0.024663066,0.08790772,0.06339474,0.0011612743,6.310739,0.000807742,0.00017276032
59,2029-12,10.345947,0.024456445,0.16569759,0.3743294,0.0077735716,6.544228,0.026020652,0.056531627
60,2030-01,9.763438,0.040039226,0.8247709,2.1105344,0.14447935,17.635015,0.119549215,2.545825
61,2030-02,11.525493,0.18765363,1.1057177,2.9189508,0.2596558,18.204832,0.12615325,3.9266267
62,2030-03,15.650928,0.17461324,1.2835046,0.6020175,0.05142206,13.265326,0.020033387,2.7441998
63,2030-04,19.599827,0.07584207,0.9021778,0.3085042,0.03121868,7.069802,0.013203635,0.5929784
64,2030-05,22.7292,0.047065806,0.4457352,0.08762701,0.0037475384,6.6152205,0.0018353927,0.17212111
65,2030-06,29.239864,0.034390774,0.2234455,0.039925795,0.0019207031,5.5588675,2.5671266e-06,0.025699198
66,2030-07,33.113842,0.030643087,0.29783866,0.3307809,0.005309831,6.8110332,0.0,0.0
67,2030-08,33.29655,0.029838568,0.17615594,0.15256819,0.0029245373,6.4951696,7.8527614e-07,0.0
68,2030-09,28.938278,0.029375104,0.33021116,0.36479345,0.0061746985,7.1723704,0.0,0.0
69,2030-10,24.16372,0.02903348,0.24421653,0.26314884,0.0040716096,6.989423,0.0013199021,0.0037756353
70,2030-11,15.680649,0.028764287,0.14547859,0.15500815,0.0030827222,7.1812544,0.0023999228,0.0038782437
71,2030-12,11.388697,0.028985322,0.25362208,0.47181103,0.016037257,9.125994,0.014054135,0.07200624
72,2031-01,8.7278185,0.029444057,0.23810759,0.32498738,0.01065817,9.915959,0.02105088,0.12276674
73,2031-02,12.970179,0.05910725,0.76360667,1.4960654,0.09376804,13.7465105,0.061259754,0.42087314
74,2031-03,15.694148,0.22009122,1.3599207,2.0706704,0.14948653,15.9332485,0.03757085,0.55367136
75,2031-04,17.648026,0.12323003,0.8892455,0.24942821,0.01291037,9.187442,0.0078115137,0.3789585
76,2031-05,21.396704,0.15299802,1.073581,1.1064678,0.06889857,10.590955,0.0267526,0.369235
77,2031-06,29.287033,0.03686567,0.3517306,0.04257654,0.0034337197,5.4837127,4.165553e-05,0.044189315
78,2031-07,33.004692,0.029973328,0.23288323,0.16978636,0.0023701976,5.903115,0.0,0.0
79,2031-08,33.50032,0.028281547,0.36499545,0.38597372,0.0060519367,7.580298,0.0,0.0
80,2031-09,27.64754,0.027708175,0.6003033,1.030336,0.02487146,8.447776,0.0,0.0
81,2031-10,21.14471,0.028101021,0.37824693,0.050953224,0.00085133093,8.240871,7.563925e-05,0.0
82,2031-11,13.206639,0.04012257,0.6308435,1.592345,0.08286877,13.401981,0.0508898,0.44648257
83,2031-12,11.911205,0.055619255,0.4824536,0.515953,0.02460156,15.229588,0.005668677,0.57931066
84,2032-01,9.691864,0.34297946,0.9753056,4.3357906,0.69960505,18.792927,0.16460589,2.1323986
85,2032-02,10.308108,0.7677758,1.2878808,3.3372502,0.47325575,21.171446,0.18342772,6.187692
86,2032-03,14.034116,0.3594601,1.473863,0.08485143,0.023635209,11.858054,0.005423194,6.370232
87,2032-04,19.004038,0.12736712,1.2006404,0.14082815,0.039526485,6.3172693,0.00072510313,2.8025026
88,2032-05,24.242516,0.07079802,0.5652896,0.080507174,0.023366928,5.7764316,4.670721e-05,1.1517704
