,date,airtemp,baseflow,ev,rainfall,runoff,sm,snowfall,snowwater
50,2029-03,11.509644,0.05677591,0.7364043,1.1401944,0.08009161,12.41944,0.13212396,1.2690109
51,2029-04,16.33313,0.096756585,0.8972264,0.8424361,0.04106966,10.935238,0.07382708,0.8316796
52,2029-05,23.968689,0.04290688,0.34778306,0.00027824717,0.004947403,5.8296204,3.0865692e-06,0.12705229
53,2029-06,28.668467,0.023286022,0.14930536,0.0018179299,0.0007233521,5.320699,2.00596e-05,0.005138971
54,2029-07,31.49662,0.020397292,0.023342289,0.0023459885,9.110252e-06,5.3020225,0.0,0.0
55,2029-08,28.921019,0.019794663,0.0032805542,0.0028012062,1.772382e-05,5.302446,0.0,0.0
56,2029-09,27.333282,0.019459303,0.09292583,0.09536951,0.0010891703,5.6333776,0.0,0.0
57,2029-10,20.765146,0.019228725,0.037704024,0.03893044,0.00034931107,5.4578586,3.804296e-05,0.0
58,2029-11,15.732578,0.01905888,0.021282986,0.021872092,0.00025339404,5.4247193,0.00023810356,4.208005e-06
59,2029-12,4.522551,0.020593204,0.33897907,0.73265624,0.021149626,10.598197,0.4990109,2.125787
60,2030-01,7.4753003,0.046271034,0.62218755,1.1068566,0.07129486,17.14467,0.13716023,6.1261387
61,2030-02,11.468885,0.058044728,0.5930167,0.13960859,0.017066086,13.753246,0.013004751,4.3233542
62,2030-03,13.713676,0.070531584,0.5196608,0.30691877,0.02084411,8.838745,0.023932047,2.2382095
63,2030-04,17.763905,0.06139523,0.6053189,0.4068014,0.023497324,8.000049,0.031147465,1.1095893
64,2030-05,23.18022,0.033470847,0.22134471,0.00079232577,0.0035045668,5.4419723,3.1497352e-06,0.14357261
65,2030-06,29.637774,0.02114801,0.1315385,0.026446197,0.0010214325,5.4115567,1.9551631e-07,0.0061983312
66,2030-07,31.299498,0.018991573,0.26780093,0.4166466,0.0065977676,6.313456,0.0,0.0
67,2030-08,30.846087,0.018609907,0.21869859,0.08072199,0.0009630343,6.7632365,0.0,0.0
68,2030-09,28.738605,0.01837456,0.037015833,0.026913203,0.000294225,5.469028,0.0,0.0
69,2030-10,21.140617,0.018201472,0.13340007,0.16087058,0.0024249225,6.1739316,0.0001222191,0.0
70,2030-11,13.450903,0.018993242,0.25880963,0.4444827,0.014580833,9.44214,0.02593993,0.14707665
71,2030-12,10.170544,0.018756833,0.3592418,0.58889616,0.012266104,11.274153,0.009308942,0.020572696
72,2031-01,10.940359,0.018518478,0.27951843,0.08078106,0.0023222326,11.27675,0.0044081947,0.017271752
73,2031-02,12.1762705,0.018714454,0.33897033,0.2889361,0.007498497,9.072859,0.021439848,0.065136336
74,2031-03,12.501975,0.02040625,0.5415338,0.69698185,0.024103936,10.147383,0.070297316,0.24507502
75,2031-04,19.456692,0.021356687,0.29449287,0.002395157,0.0005157695,6.3659463,2.7659437e-06,0.026706384
76,2031-05,23.376421,0.018833123,0.20338207,0.13800378,0.002916853,6.034467,0.0022015332,0.00049994024
77,2031-06,28.056759,0.017774887,0.016801003,0.0032055874,5.0399623e-05,5.3109965,0.0,0.0
78,2031-07,32.24879,0.017357305,0.08642913,0.13259082,0.0024207805,5.771611,0.0,0.0
79,2031-08,31.363604,0.017104859,0.119827755,0.09873949,0.0012203612,6.0155625,0.0,0.0
80,2031-09,25.490374,0.016927378,0.40006498,0.40101305,0.0060103848,7.5258427,3.458814e-05,0.0
81,2031-10,22.44043,0.016787624,0.11954217,0.1277281,0.0018195228,6.0631213,0.0003122718,8.860081e-05
82,2031-11,14.1566,0.016655548,0.106446415,0.17722678,0.003444891,6.254747,0.006612763,0.004354452
83,2031-12,9.9778185,0.040263105,0.7198486,2.0513837,0.1381117,15.942263,0.09604731,1.36044
84,2032-01,9.706664,0.0800968,0.6778841,1.7133954,0.08842009,19.017818,0.062099166,3.1137464
85,2032-02,9.8810425,0.27733466,1.0757675,1.7598248,0.1174469,18.925438,0.16996922,5.098062
86,2032-03,15.152635,0.19179894,1.0527014,0.16684015,0.037187807,11.615446,0.0069195395,4.231508
87,2032-04,16.971136,0.07882991,0.64604914,0.07346731,0.019005973,6.6423216,0.0081181675,1.4930836
88,2032-05,23.74652,0.038730294,0.3076484,0.005398589,0.00856966,5.434578,1.0551377e-06,0.33728036
89,2032-06,29.5746,0.024268705,0.10188109,0.0010649475,0.0024232876,5.3115835,0.0,0.04571216
90,2032-07,30.645494,0.020788994,0.16157132,0.22372966,0.003756045,6.0141153,0.0,0.0
91,2032-08,31.232672,0.020259809,0.62098813,0.63136363,0.012384918,9.173252,1.6798539e-07,0.0
92,2032-09,25.770458,0.020256536,0.30249658,0.32298008,0.0065816697,7.173193,3.2112617e-05,0.0
93,2032-10,21.732183,0.020302724,0.3956614,0.41857207,0.0076792943,8.260618,0.00014268605,4.5056095e-05
94,2032-11,14.457857,0.019965002,0.14988634,0.14764021,0.0019550556,6.9544735,0.0046198056,0.0019533783
95,2032-12,9.129467,0.019745016,0.12157417,0.1385013,0.003378207,7.955142,0.008359552,0.026307937
96,2033-01,11.882702,0.050143667,0.8014255,2.4593437,0.2642051,15.59624,0.06404168,0.48185748
97,2033-02,9.330116,0.34943864,1.1118007,3.1399703,0.40360874,20.192707,0.33353314,5.357853
98,2033-03,11.587835,0.37106502,1.3194536,1.5229306,0.14979106,16.464888,0.11425858,7.2169223
99,2033-04,15.910184,0.15924925,1.1221814,0.018099444,0.025055904,8.015077,0.0027529902,3.0914898
100,2033-05,22.869024,0.06372395,0.5036112,0.0006051023,0.0257852,5.5055547,1.4694494e-06,0.91721606
101,2033-06,27.906599,0.035429973,0.19969101,0.0007676696,0.0050501483,5.328372,0.0,0.22072798
102,2033-07,31.398205,0.028167287,0.11633105,0.113617815,0.0032183127,5.6937685,7.525396e-06,0.026135147
103,2033-08,30.135202,0.025717389,0.1272812,0.1348599,0.0017918779,5.7749543,5.2879706e-08,0.0
104,2033-09,27.198492,0.025256706,0.12121732,0.11283822,0.0016079084,5.8636913,2.3829584e-07,0.0
105,2033-10,19.590673,0.024963243,0.033539336,0.031076403,0.0005604458,5.5518503,0.00062823546,0.0010944788
106,2033-11,12.636131,0.024709351,0.071619555,0.07563261,0.0010849845,6.023352,0.0019933437,0.00013211828
107,2033-12,11.881787,0.02446845,0.12370864,0.2347259,0.004510939,6.108837,0.03914357,0.06446076
108,2034-01,10.390383,0.02428136,0.10631714,0.013878936,0.001030842,7.4498706,0.0010363746,0.05163017
109,2034-02,15.622834,0.024078041,0.08155061,0.05403722,0.0009612298,5.972921,0.0015597701,0.00030794376
110,2034-03,14.765112,0.023856841,0.05980842,0.034120932,0.0003942117,5.7503953,0.0025824343,0.00027151988
111,2034-04,17.818378,0.023632754,0.027560309,0.011806237,0.00010622547,5.4265194,0.0007367425,7.601489e-08
112,2034-05,23.828827,0.023414366,0.026447548,0.02307622,0.00033827967,5.3907976,1.3369004e-05,0.0
113,2034-06,28.554304,0.023206918,0.009057719,0.008567865,8.5344065e-05,5.3123856,2.4550457e-06,0.0
114,2034-07,30.763039,0.023004936,0.16889676,0.17599668,0.0023015037,5.9826074,4.4556346e-06,0.0
115,2034-08,31.186325,0.022803666,0.19229472,0.20204559,0.0029094957,6.2260237,0.0,0.0
116,2034-09,28.358723,0.022609293,0.020066557,0.012916667,0.0001285894,5.404655,0.0,0.0
