,date,airtemp,baseflow,ev,rainfall,runoff,sm,snowfall,snowwater,D0,D1,D2,D3,D4
199,1966-08-01,29.77868358064516,0.020189208903225807,0.09956017177419355,0.059835128377419354,0.0007098522106451613,5.814482290322581,0.0,0.0,22.7,6.7,0.0,0.0,0.0
200,1966-09-01,25.197752466666667,0.020003421833333333,0.09058357133333333,0.10154780338833332,0.0010985554614484667,5.57649058,8.006418096666667e-05,1.0220036666666667e-06,89.2,76.6,44.5,20.8,0.4
201,1966-10-01,18.90095677419355,0.01983556903225806,0.23566514803225808,0.2382625386873871,0.003887621264419355,6.687474503225807,0.0005649895847064517,2.6096572903225808e-05,76.8,61.9,28.3,13.5,5.8
202,1966-11-01,13.270626566666667,0.019781742066666667,0.31895411313333333,0.4506438313646666,0.009415256485833334,8.782360196666668,0.020687974004833336,0.17444241906666666,71.3,47.3,17.3,2.1,0.0
203,1966-12-01,8.75813473548387,0.04875183816129033,0.5152543796774194,1.528808995767742,0.30857855056870964,13.387004403225808,0.06597220155612903,1.0682596938709679,15.6,5.2,0.0,0.0,0.0
204,1967-01-01,8.899998722580644,0.057987557258064516,0.40107338451612906,0.6792536124467742,0.043434671789548386,11.618938774193548,0.11084307195726774,1.6940852516129032,16.2,5.2,0.0,0.0,0.0
205,1967-02-01,11.450127882142857,0.10599177092857144,0.36944111071428576,0.003869778960714286,0.0066247421999999995,10.105978439285716,0.0002651216121428572,1.7779728464285716,46.4,21.1,0.9,0.0,0.0
206,1967-03-01,13.82908870967742,0.11653224383870968,0.3944021064516129,0.4023594701876774,0.03967823605,7.370812687096775,0.06669959222258065,1.2155173983870968,72.7,40.3,6.6,0.0,0.0
207,1967-04-01,11.688987653333333,0.17972208350000002,0.6292648893333334,0.77772725937,0.03713409900333333,8.45244422,0.18957754183566664,2.3922815466666667,63.2,39.9,0.2,0.0,0.0
208,1967-05-01,21.145171838709675,0.10401851661290322,0.33482086290322577,0.04067387765612903,0.01926412229032258,6.125126822580645,0.001844493549870968,1.5441313764516127,52.4,23.3,0.5,0.0,0.0
209,1967-06-01,23.96517426666667,0.0369006652,0.23453470933333334,0.019111616010999997,0.0066928348346666664,5.514188256666667,0.000344568092491,0.5350115233333333,51.0,18.6,0.0,0.0,0.0
210,1967-07-01,30.905193741935484,0.02423017564516129,0.350420365,0.24089795824367743,0.0077402474387096775,5.991665758064516,0.0,0.10756263787096774,42.1,15.6,0.4,0.0,0.0
211,1967-08-01,30.85275693548387,0.020064524741935482,0.5039744978709677,0.6177367189293226,0.010514342166451614,7.438163167741936,0.0,0.0018999985406451612,19.8,9.4,0.0,0.0,0.0
212,1967-09-01,25.25586053333333,0.018989508866666668,0.5412135006666666,0.49500593889333333,0.007427188227216667,7.840179383333333,1.7336738533333333e-05,0.0,11.4,5.6,0.0,0.0,0.0
213,1967-10-01,21.02092748387097,0.018755575774193546,0.06056807317096774,0.0005118310258064516,6.251849832258064e-06,5.78335399032258,0.0,0.0,13.3,7.0,0.0,0.0,0.0
214,1967-11-01,15.076809766666667,0.020097841366666664,0.39841568435666663,1.0191305311276666,0.035967146300183335,8.798383663333334,0.0366759515628,0.10658442643333332,0.3,0.0,0.0,0.0,0.0
215,1967-12-01,6.100870295354839,0.02652714206451613,0.45111519322580645,0.5084202910225807,0.02820137485483871,15.68424879032258,0.411408271458129,3.498013598387097,0.0,0.0,0.0,0.0,0.0
216,1968-01-01,8.132016938709677,0.026162271709677422,0.3283804948387097,0.0974479211,0.006744275919354839,12.923769080645162,0.039205764695322574,2.04727244516129,0.0,0.0,0.0,0.0,0.0
217,1968-02-01,12.666688068965517,0.03629727813793103,0.5265803320689655,0.36026800501058626,0.01544239632413793,10.659939275862069,0.0127812312574,1.433423746551724,1.3,0.0,0.0,0.0,0.0
218,1968-03-01,13.287477500000001,0.058483878322580646,0.6722996909677419,0.6322071168229032,0.03492687796580645,10.477363712903227,0.04069583431166291,0.9059705538709678,0.7,0.0,0.0,0.0,0.0
219,1968-04-01,16.044461866666666,0.044084709199999995,0.3500190626666667,0.14544055556363336,0.007123811174333333,6.5281660299999995,0.019646000980516668,0.4723375866666667,1.6,0.0,0.0,0.0,0.0
220,1968-05-01,20.938823387096775,0.02776864570967742,0.19061048129032257,0.04487891898,0.0018645621606451614,5.559196748387097,0.001662464625935484,0.1433547672580645,9.5,0.0,0.0,0.0,0.0
221,1968-06-01,26.827982000000002,0.0212155144,0.16057864973333333,0.066530062776,0.0013547333540449998,5.526477973333333,0.000358067772,0.018615541031333335,24.1,0.1,0.0,0.0,0.0
222,1968-07-01,29.153490709677417,0.018534234838709675,0.5951546502258064,0.8877749687741935,0.013936930795829033,7.3270097967741945,1.7378501677419355e-06,0.0,1.2,0.0,0.0,0.0,0.0
223,1968-08-01,26.48703929032258,0.018357745032258066,0.596370348064516,0.3492350810163871,0.006799181674083323,8.288886987096774,3.5348111290322585e-06,0.0,17.0,7.4,0.0,0.0,0.0
224,1968-09-01,25.200836166666665,0.018138404666666667,0.021270968286666667,0.0009897326232,1.3670066966666667e-06,5.361143383333333,0.0,0.0,63.3,25.2,0.3,0.0,0.0
225,1968-10-01,19.13733885483871,0.01796148129032258,0.16782250305709678,0.19658547606000001,0.003911000277329032,6.24301030967742,0.00033949564869583873,5.291573141935484e-05,20.9,4.0,0.0,0.0,0.0
226,1968-11-01,13.282817566666667,0.017820630466666668,0.16485408396666665,0.21184557132026666,0.0034485141142533335,6.76926234,0.009091613474133333,0.022590853229666665,11.1,0.7,0.0,0.0,0.0
227,1968-12-01,6.297510283870968,0.01772836958064516,0.1751747889032258,0.19057878933548386,0.004113845171758064,7.121114712903226,0.08853896069999999,0.2465169844032258,49.9,12.7,0.4,0.0,0.0
228,1969-01-01,9.809326477419354,0.07998209412903226,0.7252985480645161,2.8088378825629032,0.5419043312629032,13.740080009677419,0.15653834756774193,1.2975506758064514,0.1,0.0,0.0,0.0,0.0
229,1969-02-01,8.097651292857142,0.34408708428571433,0.8727916464285714,2.6858699413000005,0.44521003237499995,17.733361,0.48475090659892855,7.520487775,2.3,0.0,0.0,0.0,0.0
230,1969-03-01,11.715606638709678,0.3344210383870968,0.9359379690322581,0.25286569715541934,0.05460162717419355,13.22658185483871,0.07248611294645162,14.127589919354838,5.5,0.4,0.0,0.0,0.0
231,1969-04-01,16.811365183333333,0.19180172266666667,0.8411752943333333,0.21217743084433333,0.09921936699999999,7.337006346666667,0.015545835272433334,7.374108199999999,18.4,11.7,4.3,1.1,0.0
232,1969-05-01,22.445092967741935,0.1007882425483871,0.8373386335483871,0.4744584784329032,0.06001834941935484,7.6456593032258064,0.01203230629967742,2.6434169677419357,8.8,4.9,0.0,0.0,0.0
233,1969-06-01,24.735996666666665,0.04417608776666667,0.39883577866666664,0.18158680662626667,0.015553417933333334,5.905753876666667,0.00018492120562866666,0.7541880316666667,5.8,2.6,0.0,0.0,0.0
234,1969-07-01,29.808475967741938,0.027786298935483872,0.32284706419354836,0.2932816993357742,0.010445132687096775,6.152841238709677,5.567000903225807e-06,0.2176762610967742,5.8,2.6,0.0,0.0,0.0
235,1969-08-01,30.86034116129032,0.022550335032258065,0.2574356508387097,0.25081339332996777,0.005973908504509678,6.379198435483871,0.0,0.027945873574193546,7.7,4.7,0.0,0.0,0.0
