,model_name,D0_diff,D1_diff,D2_diff,D3_diff,D4_binary_diff,D4_percent_time_diff,D4_episode_count_diff,D4_mean_duration_diff
avg,CanESM2,9.1863995908965,11.371664196430153,12.367538937616636,9.08187815122131,-0.015,-1.5000000000000002,-5,-1.8928571428571423
wc,CNRM-CM5,-12.573543419618133,-11.978038603718218,-4.175428103982,0.5643402446298715,-0.021666666666666664,-2.166666666666666,-7,-1.4952380952380953
wd,HadGEM2-ES,11.744269866833648,13.642760391235257,18.172932662506234,15.770366471539795,-0.005,-0.5,-3,-0.10714285714285765
