,D0_mean,D1_mean,D2_mean,D3_mean,D4_binary_mean,D0_max,D1_max,D2_max,D3_max,total_weeks,D4_weeks,D4_percent_time,scenario,model,rcp
avg45,67.20453600832205,58.33827117854174,37.519813330284855,19.629965583364072,0.021666666666666667,100.0,100.0,100.0,95.09,600.0,13.0,2.166666666666667,avg45,av,g45
avg85,76.39093559921855,69.70993537497189,49.88735226790149,28.711843734585383,0.006666666666666667,100.0,100.0,100.0,95.09,600.0,4.0,0.6666666666666667,avg85,av,g85
wc45,66.95929024044536,58.90244485499733,38.223482225293225,18.06767723412735,0.028333333333333332,100.0,100.0,100.0,89.67406717034773,600.0,17.0,2.833333333333333,wc45,wc,45
wc85,54.38574682082722,46.92440625127911,34.048054121311225,18.63201747875722,0.006666666666666667,100.0,100.0,100.0,91.96198807749244,600.0,4.0,0.6666666666666667,wc85,wc,85
wd45,77.33420785321583,70.79819105039529,50.65304007007352,28.828963527689496,0.006666666666666667,100.0,100.0,100.0,95.09,600.0,4.0,0.6666666666666667,wd45,wd,45
wd85,89.07847772004948,84.44095144163055,68.82597273257976,44.59932999922929,0.0016666666666666668,100.0,100.0,100.0,95.09,600.0,1.0,0.16666666666666669,wd85,wd,85
