time,baseflow_month_HadGEM2-ES_rcp45
2016-01-31 00:00:00+00:00,0.046783987
2016-02-29 00:00:00+00:00,0.30044413
2016-03-31 00:00:00+00:00,0.28854066
2016-04-30 00:00:00+00:00,0.18084908
2016-05-31 00:00:00+00:00,0.07957124
2016-06-30 00:00:00+00:00,0.04925473
2016-07-31 00:00:00+00:00,0.03591972
2016-08-31 00:00:00+00:00,0.03181891
2016-09-30 00:00:00+00:00,0.030725637
2016-10-31 00:00:00+00:00,0.030181453
2016-11-30 00:00:00+00:00,0.029735532
2016-12-31 00:00:00+00:00,0.031357676
2017-01-31 00:00:00+00:00,0.038740158
2017-02-28 00:00:00+00:00,0.1780335
2017-03-31 00:00:00+00:00,0.49242413
2017-04-30 00:00:00+00:00,0.172495
2017-05-31 00:00:00+00:00,0.08110564
2017-06-30 00:00:00+00:00,0.051459074
2017-07-31 00:00:00+00:00,0.038886122
2017-08-31 00:00:00+00:00,0.03455173
2017-09-30 00:00:00+00:00,0.03320437
2017-10-31 00:00:00+00:00,0.0328925
2017-11-30 00:00:00+00:00,0.03250288
2017-12-31 00:00:00+00:00,0.032113936
2018-01-31 00:00:00+00:00,0.038760234
2018-02-28 00:00:00+00:00,0.11748001
2018-03-31 00:00:00+00:00,0.09857768
2018-04-30 00:00:00+00:00,0.07799863
2018-05-31 00:00:00+00:00,0.046417236
2018-06-30 00:00:00+00:00,0.034625903
2018-07-31 00:00:00+00:00,0.032149486
2018-08-31 00:00:00+00:00,0.031434663
2018-09-30 00:00:00+00:00,0.031458776
2018-10-31 00:00:00+00:00,0.031998206
2018-11-30 00:00:00+00:00,0.038992304
2018-12-31 00:00:00+00:00,0.062270556
2019-01-31 00:00:00+00:00,0.059322663
2019-02-28 00:00:00+00:00,0.2615711
2019-03-31 00:00:00+00:00,0.22942007
2019-04-30 00:00:00+00:00,0.16026904
2019-05-31 00:00:00+00:00,0.07769867
2019-06-30 00:00:00+00:00,0.049104184
2019-07-31 00:00:00+00:00,0.039727278
2019-08-31 00:00:00+00:00,0.036357578
2019-09-30 00:00:00+00:00,0.034884702
2019-10-31 00:00:00+00:00,0.034036532
2019-11-30 00:00:00+00:00,0.039324876
2019-12-31 00:00:00+00:00,0.06551579
2020-01-31 00:00:00+00:00,0.05372772
2020-02-29 00:00:00+00:00,0.048403043
2020-03-31 00:00:00+00:00,0.09627874
2020-04-30 00:00:00+00:00,0.09720787
2020-05-31 00:00:00+00:00,0.0447894
2020-06-30 00:00:00+00:00,0.036343012
2020-07-31 00:00:00+00:00,0.033148456
2020-08-31 00:00:00+00:00,0.03242137
2020-09-30 00:00:00+00:00,0.0319771
2020-10-31 00:00:00+00:00,0.031627927
2020-11-30 00:00:00+00:00,0.031347208
2020-12-31 00:00:00+00:00,0.031358797
2021-01-31 00:00:00+00:00,0.031875055
2021-02-28 00:00:00+00:00,0.03418838
2021-03-31 00:00:00+00:00,0.031991612
2021-04-30 00:00:00+00:00,0.03078058
2021-05-31 00:00:00+00:00,0.030122371
2021-06-30 00:00:00+00:00,0.029719984
2021-07-31 00:00:00+00:00,0.029419404
2021-08-31 00:00:00+00:00,0.029156169
2021-09-30 00:00:00+00:00,0.028908167
2021-10-31 00:00:00+00:00,0.028812796
2021-11-30 00:00:00+00:00,0.028839894
2021-12-31 00:00:00+00:00,0.028718129
2022-01-31 00:00:00+00:00,0.028417364
2022-02-28 00:00:00+00:00,0.030137435
2022-03-31 00:00:00+00:00,0.04038229
2022-04-30 00:00:00+00:00,0.043316867
2022-05-31 00:00:00+00:00,0.030456964
2022-06-30 00:00:00+00:00,0.027913285
2022-07-31 00:00:00+00:00,0.027088936
2022-08-31 00:00:00+00:00,0.026712278
2022-09-30 00:00:00+00:00,0.026433513
2022-10-31 00:00:00+00:00,0.026204178
2022-11-30 00:00:00+00:00,0.026028931
2022-12-31 00:00:00+00:00,0.02613136
2023-01-31 00:00:00+00:00,0.026039515
2023-02-28 00:00:00+00:00,0.031009475
2023-03-31 00:00:00+00:00,0.03080838
2023-04-30 00:00:00+00:00,0.05262917
2023-05-31 00:00:00+00:00,0.06755191
2023-06-30 00:00:00+00:00,0.03033514
2023-07-31 00:00:00+00:00,0.02575089
2023-08-31 00:00:00+00:00,0.024839455
2023-09-30 00:00:00+00:00,0.024438864
2023-10-31 00:00:00+00:00,0.02662626
2023-11-30 00:00:00+00:00,0.045665797
2023-12-31 00:00:00+00:00,0.07022356
2024-01-31 00:00:00+00:00,0.1248783
2024-02-29 00:00:00+00:00,0.095748685
2024-03-31 00:00:00+00:00,0.10366042
2024-04-30 00:00:00+00:00,0.057347775
2024-05-31 00:00:00+00:00,0.039700616
2024-06-30 00:00:00+00:00,0.029765865
2024-07-31 00:00:00+00:00,0.027074063
2024-08-31 00:00:00+00:00,0.026408575
2024-09-30 00:00:00+00:00,0.026399642
2024-10-31 00:00:00+00:00,0.026355306
2024-11-30 00:00:00+00:00,0.026707908
