0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
35,d_19130301,52.4,15.7,0,0,0,0,12.6,7.3,0,0,0
32.6,d_19130401,63.6,21.3,0,0,0,0,3.8,0,0,0,0
42.4,d_19130501,57.6,20.6,0,0,0,0,0,0,0,0,0
63.9,d_19130601,33.5,7.3,0,0,0,0,2.6,0,0,0,0
61.4,d_19130701,38.6,5.9,0,0,0,0,0,0,0,0,0
88.1,d_19130801,5.4,0,0,0,0,0,6.5,0,0,0,0
77.7,d_19130901,0,0,0,0,0,0,22.3,0,0,0,0
69.5,d_19131001,0.9,0,0,0,0,0,29.6,4.3,0,0,0
62.7,d_19131101,1.1,0,0,0,0,0,36.2,9,0,0,0
82.6,d_19131201,0,0,0,0,0,0,17.4,3.2,0,0,0
5.1,d_19140101,0,0,0,0,0,0,94.9,63.8,43,8.3,0
0,d_19140201,0,0,0,0,0,0,100,91.9,55.9,28.2,0
0.8,d_19140301,0,0,0,0,0,0,99.3,74.8,26.1,0,0
4.3,d_19140401,0,0,0,0,0,0,95.7,76.9,47.4,5,0
7.1,d_19140501,0,0,0,0,0,0,92.9,79.6,28.1,1.8,0
7.8,d_19140601,0,0,0,0,0,0,92.2,86.2,41.4,9.5,0
0.1,d_19140701,0,0,0,0,0,0,100,92.2,60.5,19.6,0
15,d_19140801,0,0,0,0,0,0,85.1,61.9,10,0,0
7.6,d_19140901,0,0,0,0,0,0,92.3,77,25.7,2.3,0
38.9,d_19141001,0,0,0,0,0,0,61.2,21.9,0,0,0
68.6,d_19141101,25.5,7.6,0,0,0,0,5.9,0,0,0,0
58.5,d_19141201,0,0,0,0,0,0,41.6,11.7,0,0,0
49.9,d_19150101,0,0,0,0,0,0,50.1,25.6,11.2,0.1,0
4.5,d_19150201,0,0,0,0,0,0,95.6,63.1,9.2,0,0
24.6,d_19150301,0,0,0,0,0,0,75.4,26.7,1,0,0
5.2,d_19150401,0,0,0,0,0,0,94.7,51.5,2.9,0,0
0,d_19150501,0,0,0,0,0,0,99.9,78.5,12.9,0,0
0,d_19150601,0,0,0,0,0,0,99.9,83,18.9,3.5,0
0,d_19150701,0,0,0,0,0,0,100,89,19.6,3.9,0
0,d_19150801,0,0,0,0,0,0,99.9,91.6,24.3,7.7,0
4.4,d_19150901,0,0,0,0,0,0,95.6,72,13.1,0,0
70,d_19151001,0,0,0,0,0,0,30,4.2,0,0,0
55.6,d_19151101,42,25.5,4,0,0,0,2.4,0,0,0,0
56.6,d_19151201,30.6,17,1.7,0,0,0,12.7,3.2,0,0,0
0,d_19160101,0,0,0,0,0,0,100,92.1,33,16.4,7.4
3.6,d_19160201,0,0,0,0,0,0,96.5,59.2,11.6,3.3,0
15.5,d_19160301,0,0,0,0,0,0,84.5,36.8,4.3,0,0
10.7,d_19160401,0,0,0,0,0,0,89.4,32.3,0.3,0,0
7.9,d_19160501,0,0,0,0,0,0,92.1,41.2,0.4,0,0
3.4,d_19160601,0,0,0,0,0,0,96.5,48.7,1.1,0,0
1,d_19160701,0,0,0,0,0,0,98.9,79.7,34.2,8.2,0
17,d_19160801,0,0,0,0,0,0,83,63.7,39.7,11.1,0
2.2,d_19160901,0,0,0,0,0,0,97.9,71.2,45.1,14.5,0.5
57.1,d_19161001,30.4,3.1,0,0,0,0,12.5,4.4,0,0,0
45.1,d_19161101,40.7,18.7,0,0,0,0,14.1,6.9,0,0,0
48.4,d_19161201,28,13.3,0,0,0,0,23.7,11.7,0,0,0
41.9,d_19170101,2.8,0,0,0,0,0,55.3,23.6,0,0,0
61.1,d_19170201,8.6,0.7,0,0,0,0,30.3,12.1,0,0,0
78.7,d_19170301,6.4,0,0,0,0,0,14.9,3.5,0,0,0
75.8,d_19170401,15.5,0,0,0,0,0,8.7,0,0,0,0
91.2,d_19170501,4.4,0,0,0,0,0,4.4,0,0,0,0
98.2,d_19170601,1.8,0,0,0,0,0,0,0,0,0,0
75.4,d_19170701,3.3,0,0,0,0,0,21.3,7.1,0,0,0
48.3,d_19170801,0,0,0,0,0,0,51.7,16.8,0,0,0
