boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,Medium (RCP 4.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2001,77.3176727295,81.4969177246,79.3422698975,80.3674163818,79.2154998779,80.6960144043,80.9151916504
2002,77.8184204102,82.3435821533,79.5382843018,80.8416442871,81.1060791016,82.3405075073,79.6221008301
2003,77.7291564941,82.1418762207,79.1737442017,78.4297637939,79.9864120483,80.4833221436,78.8493804932
2004,77.8140869141,82.6462554932,78.2827987671,80.1687850952,80.7549057007,79.8075561523,78.93019104
2005,77.1034393311,83.7260437012,78.1572723389,78.9900054932,83.7260437012,80.5097503662,78.0694580078
2006,76.5805358887,83.6192626953,79.3762893677,79.7474594116,80.9695739746,82.0286102295,81.5460357666
2007,77.0140075684,82.7697982788,,81.6482543945,81.1210784912,78.5218200684,82.7697982788
2008,77.559753418,83.1995849609,,80.9500274658,79.4948272705,81.1733703613,81.5746002197
2009,78.3534088135,82.6257629395,,81.8896789551,80.0486450195,79.9019317627,79.8760528564
2010,77.8523712158,82.3745117188,,81.1879272461,81.2440719604,82.2592086792,79.3840332031
2011,78.3876266479,82.6195602417,,81.3021850586,79.5906295776,79.1697998047,80.448387146
2012,78.549949646,83.3652038574,,82.1271514893,81.6683044434,81.7714157104,81.8825378418
2013,76.2508392334,83.1951904297,,83.1888122559,80.9390869141,79.5913391113,81.4605026245
2014,77.7452545166,81.8722686768,,80.8495025635,79.7436676025,80.3406677246,80.7649078369
2015,78.6021347046,83.4639129639,,80.5256195068,79.98487854,80.3938903809,79.1808395386
2016,78.0502929688,83.0111694336,,79.6547851562,80.4530563354,80.7815475464,80.3641204834
2017,78.305557251,83.9739532471,,81.2212219238,80.5232086182,79.8211212158,81.7364807129
2018,77.9864654541,83.6740264893,,83.6636505127,79.2329711914,79.7623443604,81.8473358154
2019,78.5227050781,83.5474700928,,81.8365631104,81.5090026855,81.044342041,81.4125518799
2020,77.825012207,84.5677108765,,82.6511993408,80.0290374756,82.1500549316,79.3497009277
2021,78.5589599609,83.4114532471,,82.9639816284,80.4202575684,82.8242950439,79.4773101807
2022,78.5883483887,83.8770599365,,80.2857894897,81.1842498779,82.3325424194,83.2441864014
2023,78.1429595947,84.3256225586,,81.7953109741,80.3265533447,80.2827682495,81.7678451538
2024,78.486618042,84.6462631226,,82.1823577881,80.854385376,81.4624252319,83.0138549805
2025,77.8187561035,83.8963317871,,83.4406280518,80.436416626,82.6924591064,82.2130126953
2026,77.9070892334,84.8910369873,,82.8579101562,80.6474609375,83.5048980713,81.2986755371
2027,78.6306991577,83.8089447021,,81.7256011963,80.5384750366,82.7962188721,79.577331543
2028,78.5484161377,83.5812988281,,81.9675216675,80.3288574219,81.21875,82.1353912354
2029,79.8179321289,84.6619186401,,80.9011383057,81.6411743164,81.262802124,82.5862731934
2030,78.8478393555,84.2248840332,,83.166015625,81.3537750244,81.9099578857,82.5657272339
2031,79.012802124,84.3808898926,,83.7161560059,80.5344696045,82.4999694824,83.0129852295
2032,78.1748199463,84.0950775146,,82.814453125,78.9156799316,81.0473022461,81.5693817139
2033,78.0739135742,85.2073364258,,82.6875152588,82.660369873,80.9038848877,79.6547851562
2034,78.4627227783,85.6324005127,,83.513961792,80.5498504639,84.1539611816,83.4975891113
2035,79.1721038818,84.6477508545,,82.009979248,80.3579711914,81.2099609375,83.8902893066
2036,79.257522583,84.1123809814,,83.4927520752,80.6500396729,83.215133667,82.6000061035
2037,78.8495483398,85.9243011475,,82.0354156494,81.5518493652,82.2602539062,82.8964157104
2038,79.4770812988,85.3994903564,,84.4811935425,79.9331283569,81.2295150757,81.3971710205
2039,79.2479705811,85.0819854736,,83.9982910156,80.806930542,83.7465362549,83.5513153076
2040,79.8898468018,84.5276641846,,81.9909210205,81.8485412598,82.1552734375,82.5746765137
2041,79.3163604736,85.5675201416,,83.5267562866,80.1272583008,83.0102386475,85.2790222168
2042,80.2461853027,85.8232269287,,81.9336242676,82.3456726074,81.6785812378,82.8207244873
2043,79.7201538086,85.3095626831,,83.8225097656,81.7672424316,83.9129257202,80.4912872314
